                              10.5.10.2,                              10.5.14.2,2013/08/04T00:26:41,2013/08/04T00:26:41,          5.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:26:45,2013/08/04T00:26:45,         42.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:26:54,2013/08/04T00:26:54,         54.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:26:56,2013/08/04T00:26:56,         41.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:26:58,2013/08/04T00:26:58,         55.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:01,2013/08/04T00:27:01,         41.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:03,2013/08/04T00:27:04,          6.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:03,2013/08/04T00:27:33,          0.467,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:06,2013/08/04T00:27:06,         55.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:10,2013/08/04T00:27:10,         62.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:11,2013/08/04T00:27:11,         13.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:11,2013/08/04T00:27:17,          0.667,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:14,2013/08/04T00:27:14,          5.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:16,2013/08/04T00:27:16,          9.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:17,2013/08/04T00:27:18,         13.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         51.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:19,2013/08/04T00:27:19,         14.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:19,2013/08/04T00:27:20,          4.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:20,2013/08/04T00:27:20,          5.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:22,2013/08/04T00:27:22,         85.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:26,2013/08/04T00:27:26,          7.000,
                              10.5.10.2,                              10.5.14.2,2013/08/04T00:27:31,2013/08/04T00:27:31,          5.000,
