                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         45.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:45,2013/08/04T00:26:45,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:46,2013/08/04T00:26:47,          8.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:47,2013/08/04T00:26:47,         48.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:55,2013/08/04T00:26:55,         38.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:26:59,2013/08/04T00:26:59,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:00,2013/08/04T00:27:00,          8.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:02,2013/08/04T00:27:02,         40.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:09,2013/08/04T00:27:10,         57.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:15,2013/08/04T00:27:15,         10.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:16,2013/08/04T00:27:17,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:23,2013/08/04T00:27:23,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:26,2013/08/04T00:27:26,         37.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:27,2013/08/04T00:27:27,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:29,2013/08/04T00:27:29,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:32,2013/08/04T00:27:32,          9.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:32,2013/08/04T00:27:33,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:33,2013/08/04T00:27:33,         15.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:34,2013/08/04T00:27:34,         92.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:35,2013/08/04T00:27:35,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:37,2013/08/04T00:27:37,         12.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:38,2013/08/04T00:27:38,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:39,2013/08/04T00:27:39,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:46,2013/08/04T00:27:46,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:49,2013/08/04T00:27:49,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:50,2013/08/04T00:27:50,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:27:50,2013/08/04T00:27:51,         13.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:01,2013/08/04T00:28:01,         63.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:04,2013/08/04T00:28:04,         45.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:05,2013/08/04T00:28:05,         51.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:06,2013/08/04T00:28:06,         14.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:09,2013/08/04T00:28:09,         52.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:13,2013/08/04T00:28:13,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:14,2013/08/04T00:28:14,         57.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:18,2013/08/04T00:28:18,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:22,2013/08/04T00:28:22,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:23,2013/08/04T00:28:24,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:25,2013/08/04T00:28:25,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:30,2013/08/04T00:28:30,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:32,2013/08/04T00:28:32,          8.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:33,2013/08/04T00:28:33,          7.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:37,2013/08/04T00:28:37,         17.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:40,2013/08/04T00:28:40,         36.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:42,2013/08/04T00:28:42,         14.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:45,2013/08/04T00:28:45,         39.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:46,2013/08/04T00:28:46,        128.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:46,2013/08/04T00:28:53,          4.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:48,2013/08/04T00:28:48,         10.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:51,2013/08/04T00:28:51,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:53,2013/08/04T00:28:53,          9.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:56,2013/08/04T00:28:56,          8.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:28:59,2013/08/04T00:28:59,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:00,2013/08/04T00:29:00,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:02,2013/08/04T00:29:02,         12.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:05,2013/08/04T00:29:05,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:08,2013/08/04T00:29:08,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:11,2013/08/04T00:29:11,         45.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:13,2013/08/04T00:29:13,          9.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:14,2013/08/04T00:29:14,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:16,2013/08/04T00:29:16,         12.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:22,2013/08/04T00:29:23,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:23,2013/08/04T00:29:23,         87.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:25,2013/08/04T00:29:25,         45.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:33,2013/08/04T00:29:34,          4.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:34,2013/08/04T00:29:34,          6.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:45,2013/08/04T00:29:47,          8.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:48,2013/08/04T00:29:48,         13.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:49,2013/08/04T00:29:49,         45.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:50,2013/08/04T00:29:50,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:54,2013/08/04T00:29:54,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:55,2013/08/04T00:29:55,         93.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:56,2013/08/04T00:29:56,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:29:58,2013/08/04T00:29:58,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:01,2013/08/04T00:30:01,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:03,2013/08/04T00:30:03,          4.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:04,2013/08/04T00:30:05,         52.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:08,2013/08/04T00:30:08,         53.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:10,2013/08/04T00:30:10,         53.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:12,2013/08/04T00:30:13,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:13,2013/08/04T00:30:13,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:15,2013/08/04T00:30:15,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:17,2013/08/04T00:30:17,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:23,2013/08/04T00:30:24,         43.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:24,2013/08/04T00:30:24,         42.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:37,2013/08/04T00:30:37,         41.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:38,2013/08/04T00:30:38,          4.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:42,2013/08/04T00:30:42,         40.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:45,2013/08/04T00:30:45,         12.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:47,2013/08/04T00:30:47,         44.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:47,2013/08/04T00:30:51,          4.250,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:48,2013/08/04T00:30:48,         88.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:51,2013/08/04T00:30:51,         10.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:52,2013/08/04T00:30:52,          1.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:53,2013/08/04T00:30:53,          1.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:54,2013/08/04T00:30:54,          1.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:30:58,2013/08/04T00:30:58,          1.000,
                              10.5.10.2,                               10.5.3.2,2013/08/04T00:31:01,2013/08/04T00:31:01,          9.000,
