                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:41,2013/08/04T00:26:41,         55.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:49,2013/08/04T00:26:50,         43.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:53,2013/08/04T00:26:55,         72.500,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:55,2013/08/04T00:26:55,          6.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:26:57,2013/08/04T00:26:57,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:03,2013/08/04T00:27:06,         19.667,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:10,2013/08/04T00:27:10,          9.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:10,2013/08/04T00:27:11,          5.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:12,2013/08/04T00:27:13,          8.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:13,2013/08/04T00:27:13,          5.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:14,2013/08/04T00:27:14,         38.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:15,2013/08/04T00:27:15,         36.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:16,2013/08/04T00:27:16,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:19,2013/08/04T00:27:21,          3.500,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:20,2013/08/04T00:27:20,         51.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:20,2013/08/04T00:27:21,         36.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:21,2013/08/04T00:27:21,         18.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:22,2013/08/04T00:27:23,         43.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:23,2013/08/04T00:27:23,         41.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:25,2013/08/04T00:27:25,         40.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:26,2013/08/04T00:27:26,          9.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:30,2013/08/04T00:27:30,         11.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:31,2013/08/04T00:27:33,          8.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:33,2013/08/04T00:27:33,         67.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:35,2013/08/04T00:27:35,         41.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:37,2013/08/04T00:27:37,          9.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:47,2013/08/04T00:27:47,         13.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:47,2013/08/04T00:28:09,          1.182,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:48,2013/08/04T00:27:48,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:48,2013/08/04T00:27:49,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:49,2013/08/04T00:27:49,         10.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:50,2013/08/04T00:27:50,         56.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:50,2013/08/04T00:27:51,         13.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:53,2013/08/04T00:27:53,         41.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:57,2013/08/04T00:27:57,         42.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:58,2013/08/04T00:27:58,         41.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:27:58,2013/08/04T00:28:04,          0.667,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:28:00,2013/08/04T00:28:00,         52.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:28:02,2013/08/04T00:28:02,         85.000,
                              10.5.10.2,                              10.5.16.2,2013/08/04T00:28:03,2013/08/04T00:28:03,          6.000,
