                              10.5.10.2,                               10.5.9.2,2013/08/04T00:26:41,2013/08/04T00:26:42,         38.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:26:42,2013/08/04T00:26:42,         47.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:26:51,2013/08/04T00:26:51,         45.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:26:53,2013/08/04T00:26:53,         45.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:26:58,2013/08/04T00:26:58,         58.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:03,2013/08/04T00:27:04,         42.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:05,2013/08/04T00:27:05,         49.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:18,2013/08/04T00:27:18,         44.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:18,2013/08/04T00:27:20,          8.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:21,2013/08/04T00:27:21,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:26,2013/08/04T00:27:26,         78.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:29,2013/08/04T00:27:30,         42.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:30,2013/08/04T00:27:30,         42.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:30,2013/08/04T00:27:31,         42.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:34,2013/08/04T00:27:34,          5.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:36,2013/08/04T00:27:36,         15.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:39,2013/08/04T00:27:39,         41.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:42,2013/08/04T00:27:42,          5.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:47,2013/08/04T00:27:47,         40.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:49,2013/08/04T00:27:50,         40.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:53,2013/08/04T00:27:53,         40.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:54,2013/08/04T00:27:54,         26.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:56,2013/08/04T00:27:56,         10.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:27:59,2013/08/04T00:27:59,          8.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:01,2013/08/04T00:28:01,         38.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:05,2013/08/04T00:28:05,         21.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:06,2013/08/04T00:28:06,         44.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:12,2013/08/04T00:28:12,         43.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:15,2013/08/04T00:28:15,         45.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:23,2013/08/04T00:28:23,         42.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:29,2013/08/04T00:28:29,         45.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:32,2013/08/04T00:28:32,          8.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:35,2013/08/04T00:28:35,         43.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:37,2013/08/04T00:28:38,         48.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:40,2013/08/04T00:28:40,          7.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:42,2013/08/04T00:28:42,         58.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:43,2013/08/04T00:28:43,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:45,2013/08/04T00:28:45,         43.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:46,2013/08/04T00:28:56,          0.900,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:49,2013/08/04T00:28:49,         44.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:50,2013/08/04T00:28:50,         43.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T00:28:53,2013/08/04T00:28:53,         44.000,
