                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:41,2013/08/04T00:26:42,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         13.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:43,2013/08/04T00:26:44,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:44,2013/08/04T00:26:44,         10.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:44,2013/08/04T00:26:45,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:45,2013/08/04T00:26:45,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:46,2013/08/04T00:26:46,          5.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:50,2013/08/04T00:26:51,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:53,2013/08/04T00:26:53,         25.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:55,2013/08/04T00:26:55,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:57,2013/08/04T00:26:57,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:26:59,2013/08/04T00:27:00,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:01,2013/08/04T00:27:02,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:03,2013/08/04T00:27:04,         12.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:03,2013/08/04T00:27:06,          0.667,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:05,2013/08/04T00:27:05,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:12,2013/08/04T00:27:12,         52.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:13,2013/08/04T00:27:13,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:17,2013/08/04T00:27:17,         13.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:21,2013/08/04T00:27:21,         14.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:21,2013/08/04T00:27:22,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:22,2013/08/04T00:27:22,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:30,2013/08/04T00:27:30,         13.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:31,2013/08/04T00:27:31,         38.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:31,2013/08/04T00:27:32,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:33,2013/08/04T00:27:33,         14.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:37,2013/08/04T00:27:37,         51.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:39,2013/08/04T00:27:39,         11.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:40,2013/08/04T00:27:40,          9.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:40,2013/08/04T00:27:41,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:45,2013/08/04T00:27:45,         10.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:47,2013/08/04T00:27:47,          9.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:48,2013/08/04T00:27:48,         17.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:49,2013/08/04T00:27:49,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:50,2013/08/04T00:27:51,         11.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         13.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:52,2013/08/04T00:27:52,          8.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:53,2013/08/04T00:27:53,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:54,2013/08/04T00:27:54,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:57,2013/08/04T00:28:07,          0.900,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:27:58,2013/08/04T00:27:58,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:02,2013/08/04T00:28:03,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:03,2013/08/04T00:28:03,         53.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:03,2013/08/04T00:28:33,          0.467,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:06,2013/08/04T00:28:06,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:06,2013/08/04T00:28:07,         13.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:07,2013/08/04T00:28:07,          4.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:09,2013/08/04T00:28:12,          2.667,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:10,2013/08/04T00:31:40,          0.990,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:12,2013/08/04T00:28:12,          3.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:15,2013/08/04T00:28:15,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:16,2013/08/04T00:28:16,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:16,2013/08/04T00:28:17,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:18,2013/08/04T00:28:24,          0.833,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:21,2013/08/04T00:28:21,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:29,2013/08/04T00:28:29,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:29,2013/08/04T00:28:30,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:31,2013/08/04T00:28:31,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:36,2013/08/04T00:28:36,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:37,2013/08/04T00:28:37,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:39,2013/08/04T00:28:39,         85.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:40,2013/08/04T00:28:40,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:43,2013/08/04T00:28:45,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:44,2013/08/04T00:28:44,          3.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:46,2013/08/04T00:28:47,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:47,2013/08/04T00:28:47,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:48,2013/08/04T00:28:48,         51.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:50,2013/08/04T00:28:50,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:52,2013/08/04T00:28:52,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:55,2013/08/04T00:28:55,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:28:57,2013/08/04T00:29:00,          2.333,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:00,2013/08/04T00:29:00,          3.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:03,2013/08/04T00:29:03,         14.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:03,2013/08/04T00:29:05,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:05,2013/08/04T00:29:05,         89.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:06,2013/08/04T00:29:06,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:06,2013/08/04T00:29:07,         21.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:07,2013/08/04T00:29:07,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:11,2013/08/04T00:29:11,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:15,2013/08/04T00:29:15,          5.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:21,2013/08/04T00:29:21,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:22,2013/08/04T00:29:22,         93.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:26,2013/08/04T00:29:26,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:28,2013/08/04T00:29:28,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:33,2013/08/04T00:29:33,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:37,2013/08/04T00:29:38,         29.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:39,2013/08/04T00:29:39,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:42,2013/08/04T00:29:42,         83.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:49,2013/08/04T00:29:49,         45.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:53,2013/08/04T00:29:53,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:57,2013/08/04T00:29:57,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:58,2013/08/04T00:29:58,          5.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:29:59,2013/08/04T00:29:59,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:01,2013/08/04T00:30:01,         40.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:02,2013/08/04T00:30:02,         41.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:03,2013/08/04T00:30:03,         46.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:03,2013/08/04T00:30:04,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:09,2013/08/04T00:30:09,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:13,2013/08/04T00:30:13,         27.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:16,2013/08/04T00:30:17,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:16,2013/08/04T00:30:26,          0.800,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:18,2013/08/04T00:30:19,          4.500,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:19,2013/08/04T00:30:19,          3.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:22,2013/08/04T00:30:23,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:23,2013/08/04T00:30:23,         39.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:24,2013/08/04T00:30:24,         10.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:25,2013/08/04T00:30:25,         17.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:26,2013/08/04T00:30:26,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:29,2013/08/04T00:30:29,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:31,2013/08/04T00:30:31,         42.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:33,2013/08/04T00:31:06,          0.091,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:37,2013/08/04T00:30:37,         14.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:47,2013/08/04T00:30:48,         49.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:30:57,2013/08/04T00:30:57,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:01,2013/08/04T00:31:01,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:03,2013/08/04T00:31:03,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:09,2013/08/04T00:31:09,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:15,2013/08/04T00:31:15,          8.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:18,2013/08/04T00:31:18,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:22,2013/08/04T00:31:22,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:27,2013/08/04T00:31:32,          0.400,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:28,2013/08/04T00:31:28,          5.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:29,2013/08/04T00:31:29,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:30,2013/08/04T00:31:30,         95.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:31,2013/08/04T00:31:31,         43.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:33,2013/08/04T00:31:35,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:36,2013/08/04T00:31:36,         44.000,
                              10.5.10.2,                               10.5.5.2,2013/08/04T00:31:37,2013/08/04T00:31:37,          7.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:16,2013/08/03T17:00:16,         48.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:17,        144.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:19,         34.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:34,          0.235,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:35,          0.333,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:47,          0.100,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:17,2013/08/03T17:00:52,          0.943,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:18,2013/08/03T17:00:26,          0.500,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:18,2013/08/03T17:00:27,          0.444,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:18,2013/08/03T17:00:48,          0.100,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:19,2013/08/03T17:00:19,        194.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:19,2013/08/03T17:00:36,          0.353,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:19,2013/08/03T17:00:49,          0.100,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:20,2013/08/03T17:00:20,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:20,2013/08/03T17:00:38,          0.333,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:20,2013/08/03T17:00:49,          0.103,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:20,2013/08/03T17:00:50,          0.133,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:21,2013/08/03T17:00:32,          0.091,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:21,2013/08/03T17:00:38,          0.412,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:21,2013/08/03T17:00:50,          0.138,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:21,2013/08/03T17:00:51,          0.100,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:22,2013/08/03T17:00:28,          0.500,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:22,2013/08/03T17:00:52,          0.100,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:23,2013/08/03T17:00:31,          0.625,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:24,2013/08/03T17:00:26,          0.500,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:24,2013/08/03T17:00:30,          0.667,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:24,2013/08/03T17:00:32,          0.750,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:24,2013/08/03T17:00:35,          0.273,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:25,2013/08/03T17:00:31,          0.583,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:25,2013/08/03T17:00:37,          5.500,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:26,2013/08/03T17:00:26,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:27,2013/08/03T17:00:27,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:28,2013/08/03T17:00:28,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:29,2013/08/03T17:00:29,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:30,2013/08/03T17:00:30,          3.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:30,2013/08/03T17:00:34,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:31,2013/08/03T17:00:31,          6.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:32,2013/08/03T17:00:32,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:34,2013/08/03T17:00:34,          4.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:35,2013/08/03T17:00:35,          9.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:36,2013/08/03T17:00:36,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:37,2013/08/03T17:00:37,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:38,2013/08/03T17:00:38,          5.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:40,2013/08/03T17:00:41,         71.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:41,2013/08/03T17:00:41,          2.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:41,2013/08/03T17:00:42,         67.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:42,2013/08/03T17:00:42,          9.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:42,2013/08/03T17:00:43,         71.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:43,2013/08/03T17:00:43,          1.000,
                              10.5.10.2,                               10.5.5.2,2013/08/03T17:00:44,2013/08/03T17:00:44,        253.000,
