                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         14.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:44,2013/08/04T00:26:44,         42.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:48,2013/08/04T00:26:48,         44.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:49,2013/08/04T00:26:49,         33.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:50,2013/08/04T00:26:50,          8.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:51,2013/08/04T00:26:51,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:54,2013/08/04T00:26:54,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:26:59,2013/08/04T00:27:00,         41.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:01,2013/08/04T00:27:02,         25.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:02,2013/08/04T00:27:02,         13.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:03,2013/08/04T00:27:03,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:07,2013/08/04T00:27:08,         35.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:08,2013/08/04T00:27:08,         53.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:18,2013/08/04T00:27:19,          4.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:19,2013/08/04T00:27:19,          7.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:23,2013/08/04T00:27:23,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:27,2013/08/04T00:27:27,         41.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:31,2013/08/04T00:27:31,         41.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:33,2013/08/04T00:27:33,          7.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:36,2013/08/04T00:27:36,         40.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:37,2013/08/04T00:27:37,         83.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:40,2013/08/04T00:27:41,         42.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:42,2013/08/04T00:27:42,         50.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:43,2013/08/04T00:27:43,         83.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:45,2013/08/04T00:27:45,         40.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:46,2013/08/04T00:27:47,         44.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:47,2013/08/04T00:27:47,         85.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:47,2013/08/04T00:27:57,          0.500,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:49,2013/08/04T00:27:49,         40.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:49,2013/08/04T00:27:50,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         12.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:27:59,2013/08/04T00:28:00,         41.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:00,2013/08/04T00:28:00,          8.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:03,2013/08/04T00:28:05,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:04,2013/08/04T00:28:05,          2.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:08,2013/08/04T00:28:08,         47.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:10,2013/08/04T00:31:40,          0.990,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:13,2013/08/04T00:28:14,         43.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:15,2013/08/04T00:28:15,         86.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:16,2013/08/04T00:28:16,         13.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:17,2013/08/04T00:28:17,         94.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:21,2013/08/04T00:28:21,         13.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T00:28:24,2013/08/04T00:28:24,         44.000,
