                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:42,2013/08/04T00:26:42,          9.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:43,2013/08/04T00:26:43,         41.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:45,2013/08/04T00:26:45,         13.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:51,2013/08/04T00:26:51,          3.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:53,2013/08/04T00:26:53,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:55,2013/08/04T00:26:55,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:26:57,2013/08/04T00:26:57,         28.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:03,2013/08/04T00:27:33,          1.733,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:05,2013/08/04T00:27:05,         45.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:07,2013/08/04T00:27:07,          5.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:10,2013/08/04T00:27:10,         39.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:12,2013/08/04T00:27:12,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:13,2013/08/04T00:27:13,         40.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:14,2013/08/04T00:27:14,         10.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:16,2013/08/04T00:27:16,         42.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:16,2013/08/04T00:27:17,         37.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:17,2013/08/04T00:27:17,         45.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:20,2013/08/04T00:27:20,         41.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:22,2013/08/04T00:27:22,         42.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:24,2013/08/04T00:27:25,         50.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:25,2013/08/04T00:27:25,          8.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:29,2013/08/04T00:27:29,          5.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:30,2013/08/04T00:27:30,         48.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:31,2013/08/04T00:27:31,          9.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:32,2013/08/04T00:27:32,         42.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:36,2013/08/04T00:27:36,         93.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:38,2013/08/04T00:27:38,         56.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:43,2013/08/04T00:27:43,         41.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:47,2013/08/04T00:27:47,          1.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:48,2013/08/04T00:27:48,          9.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         56.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:52,2013/08/04T00:27:52,         51.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:57,2013/08/04T00:27:59,         75.500,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:27:59,2013/08/04T00:27:59,         37.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:05,2013/08/04T00:28:05,          1.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:06,2013/08/04T00:28:06,         14.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:09,2013/08/04T00:28:09,         10.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:10,2013/08/04T00:28:11,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:15,2013/08/04T00:28:15,         41.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:19,2013/08/04T00:28:25,          0.667,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:21,2013/08/04T00:28:21,         87.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:23,2013/08/04T00:28:23,         17.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:25,2013/08/04T00:28:26,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:28,2013/08/04T00:28:28,         42.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:31,2013/08/04T00:28:31,          8.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:33,2013/08/04T00:28:33,         53.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:33,2013/08/04T00:29:03,          0.400,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:34,2013/08/04T00:28:35,         43.000,
                              10.5.10.2,                              10.5.12.2,2013/08/04T00:28:35,2013/08/04T00:28:35,         10.000,
