                              10.5.10.2,                              10.5.13.2,2013/08/04T00:26:40,2013/08/04T00:26:40,         12.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:26:47,2013/08/04T00:26:48,          6.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:26:50,2013/08/04T00:26:50,         49.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:26:54,2013/08/04T00:26:54,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:26:59,2013/08/04T00:26:59,          9.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:01,2013/08/04T00:27:01,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:06,2013/08/04T00:27:07,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:11,2013/08/04T00:27:11,         31.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:12,2013/08/04T00:27:12,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:14,2013/08/04T00:27:14,         83.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:15,2013/08/04T00:27:15,         45.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:15,2013/08/04T00:27:26,          0.818,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:16,2013/08/04T00:27:16,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:16,2013/08/04T00:27:17,          9.500,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:17,2013/08/04T00:27:17,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:19,2013/08/04T00:27:19,         41.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:20,2013/08/04T00:27:20,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:22,2013/08/04T00:27:22,          9.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:25,2013/08/04T00:27:25,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:26,2013/08/04T00:27:26,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:32,2013/08/04T00:27:32,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:37,2013/08/04T00:27:37,         15.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:38,2013/08/04T00:27:38,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:39,2013/08/04T00:27:39,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:40,2013/08/04T00:27:40,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:41,2013/08/04T00:27:41,         13.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:45,2013/08/04T00:27:45,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:51,2013/08/04T00:27:51,         14.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:56,2013/08/04T00:27:56,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:57,2013/08/04T00:27:57,         41.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:27:58,2013/08/04T00:27:59,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:01,2013/08/04T00:28:01,         54.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:04,2013/08/04T00:28:04,         30.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:09,2013/08/04T00:28:09,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:11,2013/08/04T00:28:11,          2.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:12,2013/08/04T00:28:12,          5.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:18,2013/08/04T00:28:18,         10.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:20,2013/08/04T00:28:20,         11.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:23,2013/08/04T00:28:23,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:25,2013/08/04T00:28:25,          9.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:26,2013/08/04T00:28:26,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:29,2013/08/04T00:28:29,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:31,2013/08/04T00:28:31,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:33,2013/08/04T00:28:35,         24.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:33,2013/08/04T00:29:08,          0.714,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:34,2013/08/04T00:28:34,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:35,2013/08/04T00:28:35,          5.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:36,2013/08/04T00:28:36,          6.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:36,2013/08/04T00:28:37,          4.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:37,2013/08/04T00:28:37,          4.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:38,2013/08/04T00:28:38,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:39,2013/08/04T00:28:39,          7.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:40,2013/08/04T00:28:40,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:44,2013/08/04T00:28:44,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:47,2013/08/04T00:28:47,          7.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:49,2013/08/04T00:28:49,          8.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:50,2013/08/04T00:28:50,          8.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:28:50,2013/08/04T00:29:50,          0.117,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:00,2013/08/04T00:29:00,         41.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:01,2013/08/04T00:29:01,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:03,2013/08/04T00:29:03,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:06,2013/08/04T00:29:06,          8.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:12,2013/08/04T00:29:12,          7.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:13,2013/08/04T00:29:13,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:14,2013/08/04T00:29:14,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:14,2013/08/04T00:29:15,          7.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:16,2013/08/04T00:29:17,          6.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:22,2013/08/04T00:29:22,         17.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:24,2013/08/04T00:29:24,         43.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:29,2013/08/04T00:29:30,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:31,2013/08/04T00:29:31,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:32,2013/08/04T00:29:33,         13.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:33,2013/08/04T00:29:33,         66.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:35,2013/08/04T00:29:35,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:35,2013/08/04T00:29:36,          4.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:37,2013/08/04T00:29:37,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:37,2013/08/04T00:29:38,          9.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:38,2013/08/04T00:29:38,          1.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:39,2013/08/04T00:29:40,          7.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:43,2013/08/04T00:29:43,         44.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:45,2013/08/04T00:29:45,          5.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:46,2013/08/04T00:29:47,          6.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:46,2013/08/04T00:29:49,          2.333,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:47,2013/08/04T00:29:48,         42.000,
                              10.5.10.2,                              10.5.13.2,2013/08/04T00:29:49,2013/08/04T00:29:49,         21.000,
