                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          2.675,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.786,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:17,2013/08/03T22:49:30,          3.484,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.412,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:18,2013/08/03T22:45:18,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:18,2013/08/03T22:45:29,          1.273,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          2.933,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:19,2013/08/03T22:45:28,          1.556,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:19,2013/08/03T22:45:29,          0.300,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:22,2013/08/03T22:45:22,         13.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:22,2013/08/03T22:49:31,          3.112,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:23,2013/08/03T22:45:26,          1.667,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:26,2013/08/03T22:45:26,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:26,2013/08/03T22:46:05,          0.077,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:28,2013/08/03T22:45:28,          5.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:29,2013/08/03T22:45:29,          5.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:30,2013/08/03T22:46:11,          0.122,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:32,2013/08/03T22:45:37,          0.800,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:34,2013/08/03T22:45:38,          2.500,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:37,2013/08/03T22:45:37,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:37,2013/08/03T22:45:41,          1.250,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:40,2013/08/03T22:45:51,          1.273,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:41,2013/08/03T22:45:41,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:44,2013/08/03T22:45:44,         13.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:45,2013/08/03T22:45:47,          3.500,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:47,2013/08/03T22:45:47,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:49,2013/08/03T22:45:51,          2.500,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:51,2013/08/03T22:45:51,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:45:55,2013/08/03T22:46:02,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:05,2013/08/03T22:46:05,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:08,2013/08/03T22:46:08,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:09,2013/08/03T22:46:13,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:10,2013/08/03T22:46:50,          0.075,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:13,2013/08/03T22:46:13,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:15,2013/08/03T22:46:23,          0.625,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:16,2013/08/03T22:46:20,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:18,2013/08/03T22:46:18,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:20,2013/08/03T22:46:20,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:20,2013/08/03T22:47:00,          0.100,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:28,2013/08/03T22:46:28,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:31,2013/08/03T22:47:10,          0.077,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:32,2013/08/03T22:47:16,          0.068,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:46,2013/08/03T22:46:50,          3.500,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:49,2013/08/03T22:46:53,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:50,2013/08/03T22:46:50,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:51,2013/08/03T22:46:55,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:53,2013/08/03T22:46:53,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:46:55,2013/08/03T22:46:55,          5.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:00,2013/08/03T22:47:00,          4.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:06,2013/08/03T22:47:06,          1.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:07,2013/08/03T22:47:20,          1.154,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:08,2013/08/03T22:47:50,          0.071,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:10,2013/08/03T22:47:10,          3.000,
                              10.5.16.2,                              10.5.15.2,2013/08/03T22:47:11,2013/08/03T22:47:17,          0.667,
