                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:16,2013/08/03T22:45:59,          0.116,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:16,2013/08/03T22:46:06,          0.120,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:16,2013/08/03T22:46:23,          0.075,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          4.339,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.315,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:17,2013/08/03T22:49:30,          2.964,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.677,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:18,2013/08/03T22:45:18,          8.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:18,2013/08/03T22:46:24,          0.045,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          3.122,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:20,2013/08/03T22:46:28,          0.029,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:22,2013/08/03T22:45:24,          6.500,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:22,2013/08/03T22:45:42,          0.800,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:22,2013/08/03T22:46:02,          0.075,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:24,2013/08/03T22:45:24,          1.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:27,2013/08/03T22:49:31,          3.012,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:28,2013/08/03T22:46:18,          0.120,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:30,2013/08/03T22:45:39,          0.444,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:33,2013/08/03T22:46:20,          5.894,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:34,2013/08/03T22:46:11,          0.081,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:35,2013/08/03T22:45:35,          1.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:39,2013/08/03T22:45:44,          1.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:39,2013/08/03T22:45:46,         16.857,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:41,2013/08/03T22:45:51,          0.500,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:42,2013/08/03T22:45:42,          1.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:43,2013/08/03T22:45:43,          5.000,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:46,2013/08/03T22:46:23,          0.081,
                              10.5.16.2,                              10.5.18.2,2013/08/03T22:45:47,2013/08/03T22:45:54,          0.571,
