                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:16,2013/08/03T22:46:28,          0.097,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          3.608,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.466,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:17,2013/08/03T22:49:30,          2.954,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.724,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:18,2013/08/03T22:45:59,          0.049,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:18,2013/08/03T22:49:30,          4.230,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          4.348,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:19,2013/08/03T22:49:31,          4.409,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:20,2013/08/03T22:46:00,          0.075,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:20,2013/08/03T22:49:31,          4.371,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:21,2013/08/03T22:46:00,          0.077,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:23,2013/08/03T22:49:31,          2.754,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:24,2013/08/03T22:49:31,          4.494,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:25,2013/08/03T22:45:25,          3.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:27,2013/08/03T22:45:27,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:30,2013/08/03T22:45:35,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:33,2013/08/03T22:49:31,          3.899,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:35,2013/08/03T22:45:35,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:36,2013/08/03T22:45:50,          1.143,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:37,2013/08/03T22:45:37,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:44,2013/08/03T22:47:03,          0.101,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:50,2013/08/03T22:45:50,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:54,2013/08/03T22:47:00,          0.182,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:58,2013/08/03T22:45:58,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:59,2013/08/03T22:46:38,          0.077,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:45:59,2013/08/03T22:46:41,          0.119,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:00,2013/08/03T22:46:00,          9.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:01,2013/08/03T22:46:02,          4.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:03,2013/08/03T22:46:05,          2.500,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:03,2013/08/03T22:46:49,          0.065,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:04,2013/08/03T22:46:08,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:05,2013/08/03T22:46:05,          4.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:08,2013/08/03T22:46:33,          0.400,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:10,2013/08/03T22:46:16,          0.667,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:16,2013/08/03T22:46:16,          2.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:17,2013/08/03T22:46:23,          1.167,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:27,2013/08/03T22:46:33,          0.500,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:32,2013/08/03T22:46:32,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:33,2013/08/03T22:46:33,          1.000,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:34,2013/08/03T22:46:38,          1.250,
                              10.5.16.2,                               10.5.7.2,2013/08/03T22:46:34,2013/08/03T22:47:08,          0.294,
