                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          3.538,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.126,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:17,2013/08/03T22:45:17,         15.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:17,2013/08/03T22:49:30,          3.536,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.301,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:18,2013/08/03T22:45:18,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:18,2013/08/03T22:49:30,          4.274,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          3.465,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:21,2013/08/03T22:49:31,          4.284,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:22,2013/08/03T22:45:22,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:23,2013/08/03T22:45:23,          6.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:25,2013/08/03T22:47:28,          0.057,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:26,2013/08/03T22:45:26,         16.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:33,2013/08/03T22:46:08,          0.114,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:34,2013/08/03T22:45:34,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:35,2013/08/03T22:45:37,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:35,2013/08/03T22:45:42,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:37,2013/08/03T22:45:37,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:41,2013/08/03T22:45:44,          1.333,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:42,2013/08/03T22:45:42,          9.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:42,2013/08/03T22:45:53,          0.364,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:43,2013/08/03T22:46:51,          0.118,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:44,2013/08/03T22:45:44,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:46,2013/08/03T22:45:46,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:46,2013/08/03T22:47:10,          0.083,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:49,2013/08/03T22:46:29,          0.075,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:45:54,2013/08/03T22:46:49,          0.127,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:02,2013/08/03T22:46:05,          2.333,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:02,2013/08/03T22:46:43,          0.073,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:03,2013/08/03T22:46:05,          3.500,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:05,2013/08/03T22:46:05,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:08,2013/08/03T22:46:08,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:13,2013/08/03T22:46:13,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:24,2013/08/03T22:46:32,          1.750,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:29,2013/08/03T22:46:29,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:30,2013/08/03T22:46:37,          2.286,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:32,2013/08/03T22:46:32,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:37,2013/08/03T22:46:37,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:42,2013/08/03T22:46:43,          4.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:43,2013/08/03T22:46:43,          5.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:48,2013/08/03T22:47:35,          0.064,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:50,2013/08/03T22:47:39,          0.082,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:54,2013/08/03T22:47:00,          2.333,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:55,2013/08/03T22:47:40,          0.111,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:46:57,2013/08/03T22:47:42,          0.067,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:00,2013/08/03T22:47:00,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:00,2013/08/03T22:47:06,          2.333,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:06,2013/08/03T22:47:06,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:17,2013/08/03T22:47:29,          1.167,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:18,2013/08/03T22:48:02,          0.136,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:20,2013/08/03T22:48:00,          0.100,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:24,2013/08/03T22:47:24,          6.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:24,2013/08/03T22:47:28,          2.750,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:28,2013/08/03T22:47:28,          6.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:31,2013/08/03T22:48:26,          0.127,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:34,2013/08/03T22:47:34,          4.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:35,2013/08/03T22:47:35,          4.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:37,2013/08/03T22:48:15,          0.079,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:39,2013/08/03T22:47:39,          6.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:39,2013/08/03T22:47:46,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:42,2013/08/03T22:47:42,          5.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:42,2013/08/03T22:48:19,          0.081,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:44,2013/08/03T22:47:46,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:45,2013/08/03T22:47:45,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:46,2013/08/03T22:47:46,          6.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:50,2013/08/03T22:47:51,         12.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:51,2013/08/03T22:47:51,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:52,2013/08/03T22:48:04,          1.167,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:54,2013/08/03T22:47:54,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:47:55,2013/08/03T22:48:05,          1.400,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:00,2013/08/03T22:48:00,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:00,2013/08/03T22:48:02,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:02,2013/08/03T22:48:02,          4.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:04,2013/08/03T22:48:04,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:04,2013/08/03T22:48:12,          1.750,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:05,2013/08/03T22:48:05,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:12,2013/08/03T22:48:12,          1.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:15,2013/08/03T22:48:15,          3.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:17,2013/08/03T22:48:54,          0.108,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:19,2013/08/03T22:48:19,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:30,2013/08/03T22:49:05,          0.114,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:32,2013/08/03T22:48:40,          0.500,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:33,2013/08/03T22:48:40,          2.000,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:35,2013/08/03T22:48:45,          1.600,
                              10.5.16.2,                               10.5.3.2,2013/08/03T22:48:36,2013/08/03T22:49:12,          0.111,
