                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:16,2013/08/03T22:45:57,          0.049,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          3.701,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.215,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:17,2013/08/03T22:46:22,          0.031,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:17,2013/08/03T22:47:47,          1.007,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:17,2013/08/03T22:49:30,          3.618,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.927,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:18,2013/08/03T22:45:18,          6.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:18,2013/08/03T22:49:30,          3.550,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          4.275,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:20,2013/08/03T22:45:20,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:21,2013/08/03T22:49:31,          4.016,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:23,2013/08/03T22:45:32,          0.444,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:25,2013/08/03T22:45:35,          1.400,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:26,2013/08/03T22:45:28,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:28,2013/08/03T22:45:39,          1.273,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:30,2013/08/03T22:46:09,          0.103,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:30,2013/08/03T22:46:23,          0.019,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:31,2013/08/03T22:45:43,          1.167,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:35,2013/08/03T22:45:35,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:36,2013/08/03T22:45:38,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:38,2013/08/03T22:45:38,          8.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:38,2013/08/03T22:45:50,          0.250,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:39,2013/08/03T22:45:39,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:43,2013/08/03T22:45:43,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:50,2013/08/03T22:45:50,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:55,2013/08/03T22:45:58,          1.333,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:55,2013/08/03T22:45:59,          1.500,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:56,2013/08/03T22:45:56,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:57,2013/08/03T22:45:57,          3.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:57,2013/08/03T22:46:36,          0.103,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:45:58,2013/08/03T22:45:58,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:05,2013/08/03T22:46:05,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:06,2013/08/03T22:46:08,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:08,2013/08/03T22:46:08,          3.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:09,2013/08/03T22:46:09,          3.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:16,2013/08/03T22:46:22,          2.333,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:18,2013/08/03T22:46:20,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:20,2013/08/03T22:46:20,          4.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:20,2013/08/03T22:46:26,          2.333,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:22,2013/08/03T22:46:22,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:26,2013/08/03T22:46:26,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:31,2013/08/03T22:46:31,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:33,2013/08/03T22:47:18,          0.067,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:34,2013/08/03T22:47:18,          0.068,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:36,2013/08/03T22:46:36,          3.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:39,2013/08/03T22:46:52,          0.692,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:40,2013/08/03T22:47:30,          0.100,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:43,2013/08/03T22:46:46,          1.333,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:45,2013/08/03T22:46:48,          4.667,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:45,2013/08/03T22:46:50,          1.600,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:46,2013/08/03T22:46:46,          5.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:47,2013/08/03T22:46:49,          7.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:49,2013/08/03T22:46:49,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:46:53,2013/08/03T22:47:02,          4.000,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:47:01,2013/08/03T22:47:46,          0.067,
                              10.5.16.2,                               10.5.4.2,2013/08/03T22:47:03,2013/08/03T22:48:20,          0.078,
