                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:16,2013/08/03T22:49:30,          3.545,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:16,2013/08/03T22:49:31,          3.299,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:17,2013/08/03T22:46:08,          0.118,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:17,2013/08/03T22:46:26,          0.043,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:17,2013/08/03T22:49:31,          3.858,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:18,2013/08/03T22:45:18,          2.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:18,2013/08/03T22:45:28,          0.500,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:18,2013/08/03T22:46:38,          0.088,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:18,2013/08/03T22:49:31,          3.429,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:19,2013/08/03T22:49:31,          1.964,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:20,2013/08/03T22:46:29,          0.029,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:21,2013/08/03T22:46:02,          0.122,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:21,2013/08/03T22:49:31,          4.256,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:24,2013/08/03T22:45:28,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:25,2013/08/03T22:46:02,          0.189,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:26,2013/08/03T22:45:26,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:27,2013/08/03T22:45:32,          0.800,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:27,2013/08/03T22:45:37,          0.500,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:27,2013/08/03T22:46:25,          0.086,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:28,2013/08/03T22:45:28,          3.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:28,2013/08/03T22:46:19,          0.039,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:32,2013/08/03T22:45:32,          3.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:32,2013/08/03T22:45:41,          0.444,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:33,2013/08/03T22:46:07,          0.059,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:34,2013/08/03T22:45:34,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:34,2013/08/03T22:47:13,          0.071,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:35,2013/08/03T22:46:05,          0.133,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:37,2013/08/03T22:45:38,          7.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:38,2013/08/03T22:45:38,          2.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:39,2013/08/03T22:45:39,         10.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:39,2013/08/03T22:45:51,          0.750,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:50,2013/08/03T22:45:56,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:52,2013/08/03T22:45:52,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:53,2013/08/03T22:45:53,          1.000,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:56,2013/08/03T22:46:53,          0.123,
                              10.5.16.2,                              10.5.13.2,2013/08/03T22:45:59,2013/08/03T22:46:04,          3.200,
