                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:18,2013/08/03T23:32:18,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:18,2013/08/03T23:32:19,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:19,2013/08/03T23:32:25,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:22,2013/08/03T23:32:22,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:24,2013/08/03T23:32:25,         14.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:26,2013/08/03T23:32:26,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:31,2013/08/03T23:32:31,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:37,2013/08/03T23:32:38,         14.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:38,2013/08/03T23:32:38,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:38,2013/08/03T23:32:44,          1.167,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:39,2013/08/03T23:32:39,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:42,2013/08/03T23:32:48,          1.167,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:43,2013/08/03T23:32:43,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:46,2013/08/03T23:32:52,          1.167,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:48,2013/08/03T23:32:48,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:53,2013/08/03T23:32:54,         15.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:54,2013/08/03T23:32:54,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:55,2013/08/03T23:32:55,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:56,2013/08/03T23:32:56,          6.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:59,2013/08/03T23:32:59,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:32:59,2013/08/03T23:33:00,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:00,2013/08/03T23:33:00,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:01,2013/08/03T23:33:01,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:02,2013/08/03T23:33:02,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:02,2013/08/03T23:33:08,          1.167,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:06,2013/08/03T23:33:06,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:07,2013/08/03T23:33:07,          9.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:08,2013/08/03T23:33:08,         15.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:10,2013/08/03T23:33:10,         16.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:11,2013/08/03T23:33:12,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:12,2013/08/03T23:33:12,         19.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:15,2013/08/03T23:33:15,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:16,2013/08/03T23:33:16,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:17,2013/08/03T23:33:17,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:21,2013/08/03T23:33:21,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:21,2013/08/03T23:33:23,          4.500,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:21,2013/08/03T23:37:16,          4.434,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:22,2013/08/03T23:33:22,         15.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:23,2013/08/03T23:33:23,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:26,2013/08/03T23:33:26,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:27,2013/08/03T23:33:28,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:28,2013/08/03T23:33:28,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:28,2013/08/03T23:33:29,         15.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:29,2013/08/03T23:33:29,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:33,2013/08/03T23:33:34,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/03T23:33:33,2013/08/03T23:33:36,         15.667,
