                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:20,2013/08/03T23:32:21,          3.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:21,2013/08/03T23:32:21,          8.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:21,2013/08/03T23:32:22,          2.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:24,2013/08/03T23:32:24,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:25,2013/08/03T23:32:31,          1.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:29,2013/08/03T23:32:29,          3.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:31,2013/08/03T23:32:31,          5.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:32,2013/08/03T23:32:32,         12.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:32,2013/08/03T23:32:38,          1.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:33,2013/08/03T23:32:33,          3.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:33,2013/08/03T23:32:39,          1.167,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:34,2013/08/03T23:32:34,         18.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:37,2013/08/03T23:32:43,          1.167,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:39,2013/08/03T23:32:39,         10.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:42,2013/08/03T23:32:42,         21.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:42,2013/08/03T23:32:48,          0.917,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:43,2013/08/03T23:32:43,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:45,2013/08/03T23:32:45,          5.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:49,2013/08/03T23:32:49,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:50,2013/08/03T23:32:50,         21.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:51,2013/08/03T23:32:51,         15.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:52,2013/08/03T23:32:52,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:54,2013/08/03T23:32:54,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:54,2013/08/03T23:33:00,          1.500,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:55,2013/08/03T23:32:55,          5.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:56,2013/08/03T23:32:56,          2.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:57,2013/08/03T23:32:58,         15.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:58,2013/08/03T23:32:58,          1.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:59,2013/08/03T23:32:59,          5.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:32:59,2013/08/03T23:33:05,          1.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:00,2013/08/03T23:33:00,         11.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:01,2013/08/03T23:33:01,          6.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:01,2013/08/03T23:33:07,          1.167,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:02,2013/08/03T23:33:02,          5.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:03,2013/08/03T23:33:03,          7.000,
                               10.5.9.2,                               10.5.1.2,2013/08/03T23:33:06,2013/08/03T23:33:06,          5.000,
