                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:22,2013/08/03T23:32:22,          6.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:26,2013/08/03T23:32:26,          8.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:31,2013/08/03T23:32:31,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:31,2013/08/03T23:32:37,          1.167,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:32,2013/08/03T23:32:32,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:34,2013/08/03T23:32:34,         15.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:36,2013/08/03T23:32:42,          1.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:37,2013/08/03T23:32:42,          1.400,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:43,2013/08/03T23:32:44,          3.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:44,2013/08/03T23:32:44,          2.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:44,2013/08/03T23:32:49,          1.400,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:54,2013/08/03T23:32:59,          1.400,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:55,2013/08/03T23:32:56,         15.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:55,2013/08/03T23:33:01,          1.500,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:32:56,2013/08/03T23:32:56,          6.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:01,2013/08/03T23:33:01,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:03,2013/08/03T23:33:03,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:05,2013/08/03T23:33:05,          9.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:06,2013/08/03T23:33:06,          8.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:07,2013/08/03T23:33:08,         13.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:08,2013/08/03T23:33:08,          7.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:08,2013/08/03T23:33:09,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:09,2013/08/03T23:33:10,          3.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:11,2013/08/03T23:33:11,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:13,2013/08/03T23:33:13,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:14,2013/08/03T23:33:14,         18.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:17,2013/08/03T23:33:17,          8.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:18,2013/08/03T23:33:19,          3.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:19,2013/08/03T23:33:19,          7.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:21,2013/08/03T23:37:07,          3.504,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:22,2013/08/03T23:33:22,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:25,2013/08/03T23:33:31,          1.167,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:32,2013/08/03T23:33:32,          6.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:33,2013/08/03T23:33:33,          5.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:36,2013/08/03T23:33:36,          3.000,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:45,2013/08/03T23:37:16,         13.512,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:45,2013/08/03T23:37:17,          2.726,
                               10.5.9.2,                               10.5.6.2,2013/08/03T23:33:47,2013/08/03T23:33:47,          5.000,
