                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:17,2013/08/03T23:32:17,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:22,2013/08/03T23:32:22,         15.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:23,2013/08/03T23:32:23,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:23,2013/08/03T23:32:24,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:24,2013/08/03T23:32:24,         13.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:26,2013/08/03T23:32:27,         14.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:27,2013/08/03T23:32:27,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:27,2013/08/03T23:32:33,          1.167,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:28,2013/08/03T23:32:28,          9.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:30,2013/08/03T23:32:31,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:31,2013/08/03T23:32:31,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:31,2013/08/03T23:32:37,          1.167,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:33,2013/08/03T23:32:35,         23.500,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:35,2013/08/03T23:32:40,          1.200,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:36,2013/08/03T23:32:36,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:38,2013/08/03T23:32:38,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:40,2013/08/03T23:32:40,         15.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:44,2013/08/03T23:32:45,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:45,2013/08/03T23:32:45,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:47,2013/08/03T23:32:47,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:50,2013/08/03T23:32:50,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:51,2013/08/03T23:32:51,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:52,2013/08/03T23:32:52,         12.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:53,2013/08/03T23:32:53,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:54,2013/08/03T23:32:54,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:55,2013/08/03T23:33:01,          1.167,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:57,2013/08/03T23:32:58,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:58,2013/08/03T23:32:58,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:32:59,2013/08/03T23:33:00,         14.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:01,2013/08/03T23:33:04,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:02,2013/08/03T23:33:02,         17.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:03,2013/08/03T23:33:03,         19.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:06,2013/08/03T23:33:06,         13.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:09,2013/08/03T23:33:09,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/03T23:33:12,2013/08/03T23:33:13,          3.000,
