                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:17,2013/08/03T23:32:17,         15.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          7.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:21,2013/08/03T23:32:21,         12.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:22,2013/08/03T23:32:23,          3.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:23,2013/08/03T23:32:23,          2.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:27,2013/08/03T23:32:27,          7.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:28,2013/08/03T23:32:28,          5.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:32,2013/08/03T23:32:33,         17.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:33,2013/08/03T23:32:33,          1.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:33,2013/08/03T23:33:08,          0.229,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:41,2013/08/03T23:32:41,          3.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:42,2013/08/03T23:32:42,          6.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:43,2013/08/03T23:32:43,         45.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:45,2013/08/03T23:32:45,          6.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:51,2013/08/03T23:32:51,          6.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:53,2013/08/03T23:32:54,          3.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:54,2013/08/03T23:32:54,          9.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:55,2013/08/03T23:32:55,          5.000,
                               10.5.9.2,                              10.5.14.2,2013/08/03T23:32:55,2013/08/03T23:32:56,          3.000,
