                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:17,2013/08/03T23:32:18,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:18,2013/08/03T23:32:18,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:19,2013/08/03T23:32:19,          8.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:19,2013/08/03T23:32:25,          1.167,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:20,2013/08/03T23:32:21,          4.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:21,2013/08/03T23:32:22,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:23,2013/08/03T23:32:23,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:26,2013/08/03T23:32:26,         22.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:27,2013/08/03T23:32:27,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:29,2013/08/03T23:32:29,         12.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:30,2013/08/03T23:32:31,         15.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:31,2013/08/03T23:32:31,         16.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:32,2013/08/03T23:32:32,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:33,2013/08/03T23:32:33,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:34,2013/08/03T23:32:34,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:35,2013/08/03T23:32:35,         13.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:36,2013/08/03T23:32:37,         15.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:37,2013/08/03T23:32:37,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:39,2013/08/03T23:32:40,         14.000,
                               10.5.9.2,                               10.5.3.2,2013/08/03T23:32:40,2013/08/03T23:32:40,          1.000,
