                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:18,2013/08/03T23:32:18,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:18,2013/08/03T23:32:19,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:19,2013/08/03T23:32:19,          2.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          4.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:26,2013/08/03T23:32:27,          3.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:27,2013/08/03T23:32:27,          7.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:27,2013/08/03T23:32:33,          1.167,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:28,2013/08/03T23:32:28,         16.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:29,2013/08/03T23:32:29,         12.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:31,2013/08/03T23:32:31,         11.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:32,2013/08/03T23:32:32,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:33,2013/08/03T23:32:33,          8.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:33,2013/08/03T23:32:35,         25.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:37,2013/08/03T23:32:37,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:38,2013/08/03T23:32:38,          6.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:38,2013/08/03T23:32:39,         14.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:39,2013/08/03T23:32:39,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:39,2013/08/03T23:32:45,          1.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:40,2013/08/03T23:32:40,          5.000,
                               10.5.9.2,                               10.5.4.2,2013/08/03T23:32:45,2013/08/03T23:32:46,          3.000,
