                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:19,2013/08/03T23:32:20,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:21,2013/08/03T23:32:22,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:22,2013/08/03T23:32:22,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:23,2013/08/03T23:32:23,         15.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:26,2013/08/03T23:32:26,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:28,2013/08/03T23:32:28,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:28,2013/08/03T23:32:29,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:29,2013/08/03T23:32:29,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:33,2013/08/03T23:32:34,          4.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:35,2013/08/03T23:32:35,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:36,2013/08/03T23:32:36,         10.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:39,2013/08/03T23:32:40,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:40,2013/08/03T23:32:40,          8.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:42,2013/08/03T23:32:42,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:44,2013/08/03T23:32:44,         10.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:44,2013/08/03T23:32:45,         14.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:45,2013/08/03T23:32:45,         21.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:48,2013/08/03T23:32:48,         12.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:54,2013/08/03T23:32:54,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:55,2013/08/03T23:32:55,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:32:59,2013/08/03T23:32:59,         16.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:00,2013/08/03T23:33:00,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:01,2013/08/03T23:33:01,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:03,2013/08/03T23:33:03,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:03,2013/08/03T23:33:33,          0.633,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:04,2013/08/03T23:33:04,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:10,2013/08/03T23:33:10,         10.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:11,2013/08/03T23:33:12,         17.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:12,2013/08/03T23:33:12,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:15,2013/08/03T23:33:15,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:16,2013/08/03T23:33:16,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:17,2013/08/03T23:33:18,         14.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:18,2013/08/03T23:33:18,         21.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:19,2013/08/03T23:33:21,          3.500,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:21,2013/08/03T23:37:17,          7.153,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:24,2013/08/03T23:33:24,         18.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:27,2013/08/03T23:33:27,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:30,2013/08/03T23:33:30,          7.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:32,2013/08/03T23:33:32,         19.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:33,2013/08/03T23:33:33,         15.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:42,2013/08/03T23:33:42,         11.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:44,2013/08/03T23:37:14,          9.629,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:44,2013/08/03T23:37:17,          2.746,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:45,2013/08/03T23:37:03,          3.056,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:47,2013/08/03T23:33:47,          8.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:49,2013/08/03T23:33:49,          1.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:52,2013/08/03T23:33:53,          3.500,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:53,2013/08/03T23:33:53,         10.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:53,2013/08/03T23:33:54,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:54,2013/08/03T23:33:54,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:57,2013/08/03T23:33:57,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:33:59,2013/08/03T23:33:59,          8.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:04,2013/08/03T23:34:04,          4.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:06,2013/08/03T23:34:06,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:14,2013/08/03T23:34:14,         14.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:17,2013/08/03T23:34:17,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:21,2013/08/03T23:34:21,         26.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:21,2013/08/03T23:34:22,         14.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:22,2013/08/03T23:34:22,          6.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:27,2013/08/03T23:34:28,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:36,2013/08/03T23:34:36,          7.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:39,2013/08/03T23:34:40,          3.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:40,2013/08/03T23:34:40,          2.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:43,2013/08/03T23:34:43,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:48,2013/08/03T23:34:48,          4.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:53,2013/08/03T23:34:53,         15.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:34:55,2013/08/03T23:34:55,          5.000,
                               10.5.9.2,                              10.5.12.2,2013/08/03T23:35:03,2013/08/03T23:35:03,         13.000,
