                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:17,2013/08/03T23:32:17,          2.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:19,2013/08/03T23:32:20,          9.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:19,2013/08/03T23:32:24,          2.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          1.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:24,2013/08/03T23:32:24,          6.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:24,2013/08/03T23:32:25,          3.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          2.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:25,2013/08/03T23:32:26,          3.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:26,2013/08/03T23:32:26,          2.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:27,2013/08/03T23:32:28,          3.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:28,2013/08/03T23:32:28,          2.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:30,2013/08/03T23:32:30,          7.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:33,2013/08/03T23:33:33,          0.217,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:38,2013/08/03T23:32:38,          5.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:39,2013/08/03T23:32:39,          8.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:40,2013/08/03T23:32:40,         10.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:44,2013/08/03T23:32:44,          8.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:48,2013/08/03T23:32:48,          9.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:49,2013/08/03T23:32:49,          5.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:51,2013/08/03T23:32:51,          5.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:52,2013/08/03T23:32:53,         11.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:56,2013/08/03T23:32:56,          5.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:58,2013/08/03T23:32:58,          5.000,
                               10.5.9.2,                              10.5.13.2,2013/08/03T23:32:59,2013/08/03T23:32:59,          5.000,
