                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:18,2013/08/03T23:32:18,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:19,2013/08/03T23:32:19,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:20,2013/08/03T23:32:20,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:20,2013/08/03T23:32:21,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:22,2013/08/03T23:32:22,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:24,2013/08/03T23:32:25,          4.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:25,2013/08/03T23:32:25,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:25,2013/08/03T23:32:31,          1.167,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:30,2013/08/03T23:32:36,          1.167,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:31,2013/08/03T23:32:32,          3.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:32,2013/08/03T23:32:32,          2.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:33,2013/08/03T23:32:33,          4.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:35,2013/08/03T23:32:35,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:37,2013/08/03T23:32:37,          9.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:41,2013/08/03T23:32:41,         18.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:42,2013/08/03T23:32:42,          6.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:49,2013/08/03T23:32:50,          2.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:50,2013/08/03T23:32:50,          6.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:51,2013/08/03T23:32:51,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:51,2013/08/03T23:32:52,        143.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:53,2013/08/03T23:32:53,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:54,2013/08/03T23:32:55,          6.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:32:58,2013/08/03T23:33:03,          1.200,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:00,2013/08/03T23:33:00,         15.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:01,2013/08/03T23:33:01,          4.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:05,2013/08/03T23:33:05,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:12,2013/08/03T23:33:12,          8.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:16,2013/08/03T23:33:16,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:19,2013/08/03T23:33:25,          1.167,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:21,2013/08/03T23:33:21,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:21,2013/08/03T23:37:08,          3.581,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:28,2013/08/03T23:33:28,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:29,2013/08/03T23:33:29,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:32,2013/08/03T23:33:32,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:33,2013/08/03T23:33:33,          4.000,
                               10.5.9.2,                               10.5.8.2,2013/08/03T23:33:33,2013/08/03T23:33:34,          3.000,
