                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:16,2013/08/03T17:15:16,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:18,2013/08/03T17:15:18,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:24,2013/08/03T17:15:24,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:31,2013/08/03T17:15:31,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:33,2013/08/03T17:15:33,         27.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:44,2013/08/03T17:15:44,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:45,2013/08/03T17:15:45,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:47,2013/08/03T17:15:47,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:15:48,2013/08/03T17:15:48,         10.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:16:07,2013/08/03T17:16:08,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:16:10,2013/08/03T17:16:11,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:16:11,2013/08/03T17:16:11,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:16:29,2013/08/03T17:16:29,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:16:34,2013/08/03T17:16:34,          7.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:18,2013/08/03T17:17:21,          1.333,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:32,2013/08/03T17:17:32,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:33,2013/08/03T17:18:03,          0.133,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:45,2013/08/03T17:17:45,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:45,2013/08/03T17:17:46,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:47,2013/08/03T17:17:47,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:47,2013/08/03T17:17:48,         71.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:47,2013/08/03T17:17:50,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:17:52,2013/08/03T17:17:53,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:02,2013/08/03T17:18:02,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:28,2013/08/03T17:18:28,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:30,2013/08/03T17:18:30,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:33,2013/08/03T17:18:33,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:39,2013/08/03T17:18:40,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:18:54,2013/08/03T17:18:54,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:00,2013/08/03T17:19:00,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:01,2013/08/03T17:19:01,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:04,2013/08/03T17:19:04,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:04,2013/08/03T17:19:05,          7.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:19,2013/08/03T17:19:19,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:33,2013/08/03T17:19:34,          9.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:19:35,2013/08/03T17:19:35,         10.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:20:09,2013/08/03T17:20:10,         14.000,
                               10.5.5.2,                              10.5.15.2,2013/08/03T17:20:12,2013/08/03T17:20:12,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:40,2013/08/04T00:36:40,          8.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:41,2013/08/04T00:36:41,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:42,2013/08/04T00:36:42,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:43,2013/08/04T00:36:43,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:44,2013/08/04T00:36:44,         25.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:45,2013/08/04T00:36:45,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:47,2013/08/04T00:36:47,          7.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:51,2013/08/04T00:36:51,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:53,2013/08/04T00:36:53,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:55,2013/08/04T00:36:55,         14.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:56,2013/08/04T00:36:56,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:36:57,2013/08/04T00:36:57,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:03,2013/08/04T00:37:03,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:03,2013/08/04T00:37:33,          0.333,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:04,2013/08/04T00:37:04,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:08,2013/08/04T00:37:18,          0.300,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:10,2013/08/04T00:37:16,          0.833,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:11,2013/08/04T00:37:11,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:14,2013/08/04T00:37:15,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:15,2013/08/04T00:37:15,         13.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:17,2013/08/04T00:37:17,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:19,2013/08/04T00:37:19,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:20,2013/08/04T00:37:20,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:23,2013/08/04T00:37:23,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:26,2013/08/04T00:37:26,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:29,2013/08/04T00:37:29,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:30,2013/08/04T00:37:30,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:32,2013/08/04T00:37:32,         13.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:35,2013/08/04T00:37:36,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:38,2013/08/04T00:37:38,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:39,2013/08/04T00:37:40,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:43,2013/08/04T00:37:43,         13.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:45,2013/08/04T00:37:45,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:49,2013/08/04T00:37:49,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:53,2013/08/04T00:37:53,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:53,2013/08/04T00:37:54,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:54,2013/08/04T00:37:54,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:58,2013/08/04T00:37:59,         14.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:37:59,2013/08/04T00:37:59,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:00,2013/08/04T00:38:00,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:02,2013/08/04T00:38:02,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:02,2013/08/04T00:38:03,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:03,2013/08/04T00:38:03,          8.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:05,2013/08/04T00:38:06,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:07,2013/08/04T00:38:07,          8.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:09,2013/08/04T00:38:09,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:16,2013/08/04T00:38:16,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:18,2013/08/04T00:38:19,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:21,2013/08/04T00:38:21,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:25,2013/08/04T00:38:25,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:26,2013/08/04T00:38:26,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:27,2013/08/04T00:38:27,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:29,2013/08/04T00:38:29,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:30,2013/08/04T00:38:31,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:31,2013/08/04T00:38:31,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:32,2013/08/04T00:38:32,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:33,2013/08/04T00:38:33,          2.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:33,2013/08/04T00:39:03,          0.067,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:36,2013/08/04T00:38:37,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:39,2013/08/04T00:38:39,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:42,2013/08/04T00:38:42,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:44,2013/08/04T00:38:44,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:45,2013/08/04T00:38:45,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:47,2013/08/04T00:38:47,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:49,2013/08/04T00:38:49,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:50,2013/08/04T00:38:55,          1.400,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:52,2013/08/04T00:38:52,          8.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:55,2013/08/04T00:38:55,         11.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:56,2013/08/04T00:38:56,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:58,2013/08/04T00:38:58,          9.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:58,2013/08/04T00:38:59,          9.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:38:59,2013/08/04T00:38:59,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:00,2013/08/04T00:39:00,         15.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:00,2013/08/04T00:39:01,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:00,2013/08/04T00:39:06,          0.667,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:04,2013/08/04T00:39:04,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:04,2013/08/04T00:39:05,          3.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:06,2013/08/04T00:39:06,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T00:39:07,2013/08/04T00:39:07,          3.000,
