                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:16,2013/08/03T17:15:23,          5.286,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:18,2013/08/03T17:15:18,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:25,2013/08/03T17:15:25,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:33,2013/08/03T17:15:33,         11.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:39,2013/08/03T17:15:39,         13.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:40,2013/08/03T17:15:40,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:46,2013/08/03T17:15:46,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:15:58,2013/08/03T17:15:58,         20.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:03,2013/08/03T17:16:03,         27.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:03,2013/08/03T17:16:33,          0.167,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:18,2013/08/03T17:16:18,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:19,2013/08/03T17:16:19,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:34,2013/08/03T17:16:34,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:42,2013/08/03T17:16:42,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:43,2013/08/03T17:16:55,          1.083,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:51,2013/08/03T17:16:51,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:52,2013/08/03T17:16:52,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:16:53,2013/08/03T17:16:53,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:04,2013/08/03T17:17:04,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:05,2013/08/03T17:17:05,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:11,2013/08/03T17:17:11,          8.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:15,2013/08/03T17:17:15,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:18,2013/08/03T17:17:23,          3.400,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:21,2013/08/03T17:17:21,         11.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:25,2013/08/03T17:17:29,          4.250,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:33,2013/08/03T17:17:34,         15.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:37,2013/08/03T17:17:37,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:17:56,2013/08/03T17:17:56,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:18:04,2013/08/03T17:18:04,          8.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:18:06,2013/08/03T17:18:07,         11.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:18:27,2013/08/03T17:18:27,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:18:55,2013/08/03T17:18:55,          8.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:19:31,2013/08/03T17:19:31,          7.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:19:43,2013/08/03T17:19:43,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:19:53,2013/08/03T17:19:53,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:20:06,2013/08/03T17:20:06,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:20:10,2013/08/03T17:20:11,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:20:11,2013/08/03T17:20:11,          2.000,
                               10.5.5.2,                              10.5.19.2,2013/08/03T17:20:13,2013/08/03T17:20:16,          1.667,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:40,2013/08/04T00:36:40,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:41,2013/08/04T00:36:41,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:43,2013/08/04T00:36:43,         17.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:45,2013/08/04T00:36:46,          5.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:47,2013/08/04T00:36:47,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:48,2013/08/04T00:36:48,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:49,2013/08/04T00:36:49,          9.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:50,2013/08/04T00:36:50,         12.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:56,2013/08/04T00:36:56,          5.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:57,2013/08/04T00:36:57,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:36:59,2013/08/04T00:37:00,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:00,2013/08/04T00:37:00,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:01,2013/08/04T00:37:01,          9.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:03,2013/08/04T00:37:03,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:06,2013/08/04T00:37:06,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:10,2013/08/04T00:37:11,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:11,2013/08/04T00:37:11,          5.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:13,2013/08/04T00:37:13,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:16,2013/08/04T00:37:16,          8.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:21,2013/08/04T00:37:21,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:25,2013/08/04T00:37:25,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:27,2013/08/04T00:37:27,         14.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:33,2013/08/04T00:37:33,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:34,2013/08/04T00:37:34,          6.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:36,2013/08/04T00:37:36,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:37,2013/08/04T00:37:37,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:40,2013/08/04T00:37:40,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:41,2013/08/04T00:37:41,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:43,2013/08/04T00:37:43,         11.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:44,2013/08/04T00:37:44,          8.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T00:37:47,2013/08/04T00:37:47,         22.000,
