                               10.5.5.2,                               10.5.1.2,2013/08/03T17:15:51,2013/08/03T17:15:51,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:15:59,2013/08/03T17:15:59,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:05,2013/08/03T17:16:05,         12.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:08,2013/08/03T17:16:09,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:16,2013/08/03T17:16:16,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:18,2013/08/03T17:16:18,         11.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:22,2013/08/03T17:16:22,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:33,2013/08/03T17:16:33,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:35,2013/08/03T17:16:35,          7.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:42,2013/08/03T17:16:42,          1.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:16:43,2013/08/03T17:16:44,         10.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:17:25,2013/08/03T17:17:27,          2.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:17:35,2013/08/03T17:17:35,          4.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:17:54,2013/08/03T17:17:54,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:17:55,2013/08/03T17:17:55,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:07,2013/08/03T17:18:08,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:24,2013/08/03T17:18:24,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:28,2013/08/03T17:18:31,          2.667,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:45,2013/08/03T17:18:46,         11.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:47,2013/08/03T17:18:48,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:18:48,2013/08/03T17:18:48,         11.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:19:27,2013/08/03T17:19:27,         18.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:19:52,2013/08/03T17:19:53,          4.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:20:04,2013/08/03T17:20:04,          8.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:20:09,2013/08/03T17:20:10,         11.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:20:13,2013/08/03T17:20:14,         11.000,
                               10.5.5.2,                               10.5.1.2,2013/08/03T17:20:15,2013/08/03T17:20:15,          5.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:44,2013/08/04T00:36:44,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:48,2013/08/04T00:36:48,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:49,2013/08/04T00:36:49,         18.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:50,2013/08/04T00:36:50,          7.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:51,2013/08/04T00:36:51,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:52,2013/08/04T00:36:52,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:36:54,2013/08/04T00:36:54,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:03,2013/08/04T00:37:03,          9.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:03,2013/08/04T00:37:48,          0.333,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:04,2013/08/04T00:37:04,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:06,2013/08/04T00:37:06,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:08,2013/08/04T00:37:17,          0.333,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:10,2013/08/04T00:37:10,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:11,2013/08/04T00:37:11,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:13,2013/08/04T00:37:13,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:14,2013/08/04T00:37:14,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:16,2013/08/04T00:37:16,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:19,2013/08/04T00:37:19,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:19,2013/08/04T00:37:20,         15.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:20,2013/08/04T00:37:20,         13.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:24,2013/08/04T00:37:24,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:28,2013/08/04T00:37:28,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:29,2013/08/04T00:37:29,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:30,2013/08/04T00:37:30,         16.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:33,2013/08/04T00:37:33,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:37,2013/08/04T00:37:37,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:38,2013/08/04T00:37:38,          6.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:39,2013/08/04T00:37:39,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:40,2013/08/04T00:37:40,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:42,2013/08/04T00:37:43,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:42,2013/08/04T00:37:48,          0.833,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:43,2013/08/04T00:37:43,          8.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:44,2013/08/04T00:37:44,          8.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:47,2013/08/04T00:37:47,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:49,2013/08/04T00:37:49,          3.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:50,2013/08/04T00:37:50,         12.000,
                               10.5.5.2,                               10.5.1.2,2013/08/04T00:37:52,2013/08/04T00:37:52,          5.000,
