                               10.5.5.2,                              10.5.20.2,2013/08/03T17:15:31,2013/08/03T17:15:31,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:15:49,2013/08/03T17:15:49,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:15:58,2013/08/03T17:15:58,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:03,2013/08/03T17:16:03,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:12,2013/08/03T17:16:12,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:24,2013/08/03T17:16:24,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:27,2013/08/03T17:16:32,          4.400,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:28,2013/08/03T17:16:28,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:32,2013/08/03T17:16:34,          5.500,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:35,2013/08/03T17:16:40,        476.800,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:39,2013/08/03T17:16:39,         18.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:42,2013/08/03T17:16:42,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:16:49,2013/08/03T17:16:50,         11.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:02,2013/08/03T17:17:02,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:03,2013/08/03T17:17:03,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:12,2013/08/03T17:17:12,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:13,2013/08/03T17:17:13,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:14,2013/08/03T17:17:14,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:19,2013/08/03T17:17:19,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:33,2013/08/03T17:17:33,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:48,2013/08/03T17:17:48,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:17:55,2013/08/03T17:17:55,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:00,2013/08/03T17:18:00,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:03,2013/08/03T17:18:03,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:08,2013/08/03T17:18:08,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:11,2013/08/03T17:18:11,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:11,2013/08/03T17:18:12,         10.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:18,2013/08/03T17:18:18,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:22,2013/08/03T17:18:22,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:23,2013/08/03T17:18:23,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:26,2013/08/03T17:18:37,          0.727,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:28,2013/08/03T17:18:28,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:29,2013/08/03T17:18:29,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:38,2013/08/03T17:18:38,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:44,2013/08/03T17:18:44,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:48,2013/08/03T17:18:48,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:53,2013/08/03T17:18:53,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:18:56,2013/08/03T17:18:56,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:03,2013/08/03T17:19:03,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:22,2013/08/03T17:19:22,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:25,2013/08/03T17:19:25,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:33,2013/08/03T17:19:33,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:37,2013/08/03T17:19:37,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:39,2013/08/03T17:19:40,         10.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:43,2013/08/03T17:19:43,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:19:50,2013/08/03T17:19:50,         11.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:20:10,2013/08/03T17:20:10,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T17:20:11,2013/08/03T17:20:16,          3.800,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:40,2013/08/04T00:36:40,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:40,2013/08/04T00:41:40,          0.903,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:43,2013/08/04T00:36:43,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:45,2013/08/04T00:36:46,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:47,2013/08/04T00:36:47,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:50,2013/08/04T00:36:50,          8.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:50,2013/08/04T00:36:51,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:55,2013/08/04T00:36:55,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:36:59,2013/08/04T00:36:59,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:00,2013/08/04T00:37:01,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:02,2013/08/04T00:37:02,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:04,2013/08/04T00:37:04,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:05,2013/08/04T00:37:05,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:08,2013/08/04T00:37:08,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:09,2013/08/04T00:37:10,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:11,2013/08/04T00:37:11,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:11,2013/08/04T00:37:17,          0.500,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:15,2013/08/04T00:37:15,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:16,2013/08/04T00:37:27,          0.818,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:17,2013/08/04T00:37:17,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:17,2013/08/04T00:37:18,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:19,2013/08/04T00:37:19,          8.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:20,2013/08/04T00:37:20,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:21,2013/08/04T00:37:21,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:25,2013/08/04T00:37:25,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:33,2013/08/04T00:37:33,         10.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:36,2013/08/04T00:37:36,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:37,2013/08/04T00:37:37,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:39,2013/08/04T00:37:39,          8.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:43,2013/08/04T00:37:44,         13.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:44,2013/08/04T00:37:44,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:45,2013/08/04T00:37:45,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:46,2013/08/04T00:37:46,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:47,2013/08/04T00:37:47,         10.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:50,2013/08/04T00:37:50,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:51,2013/08/04T00:37:51,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:52,2013/08/04T00:37:52,         12.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:53,2013/08/04T00:37:53,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:57,2013/08/04T00:37:57,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:58,2013/08/04T00:37:58,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:59,2013/08/04T00:37:59,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:37:59,2013/08/04T00:38:00,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:00,2013/08/04T00:38:00,         12.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:01,2013/08/04T00:38:01,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:03,2013/08/04T00:38:03,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:04,2013/08/04T00:38:04,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:04,2013/08/04T00:38:05,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:06,2013/08/04T00:38:06,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:07,2013/08/04T00:38:07,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:08,2013/08/04T00:38:08,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:08,2013/08/04T00:38:09,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:10,2013/08/04T00:38:10,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:11,2013/08/04T00:38:11,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:12,2013/08/04T00:38:12,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:15,2013/08/04T00:38:15,         10.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:17,2013/08/04T00:38:17,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:20,2013/08/04T00:38:21,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:21,2013/08/04T00:38:21,         27.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:23,2013/08/04T00:38:23,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:26,2013/08/04T00:38:27,         13.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:27,2013/08/04T00:38:27,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:30,2013/08/04T00:38:30,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:30,2013/08/04T00:38:31,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:31,2013/08/04T00:38:31,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:33,2013/08/04T00:38:33,          2.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:35,2013/08/04T00:38:35,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:41,2013/08/04T00:38:41,         12.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:42,2013/08/04T00:38:42,         12.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:44,2013/08/04T00:38:44,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:45,2013/08/04T00:38:45,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:46,2013/08/04T00:38:46,         17.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:46,2013/08/04T00:38:47,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:47,2013/08/04T00:38:47,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:48,2013/08/04T00:38:58,          0.300,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:49,2013/08/04T00:38:49,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:50,2013/08/04T00:38:50,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:51,2013/08/04T00:38:51,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:52,2013/08/04T00:38:52,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:38:53,2013/08/04T00:38:53,         18.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:01,2013/08/04T00:39:01,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:03,2013/08/04T00:39:03,          2.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:04,2013/08/04T00:39:04,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:07,2013/08/04T00:39:07,          8.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:07,2013/08/04T00:39:08,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:11,2013/08/04T00:39:12,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:13,2013/08/04T00:39:13,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:17,2013/08/04T00:39:17,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:21,2013/08/04T00:39:21,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:22,2013/08/04T00:39:22,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:22,2013/08/04T00:39:23,         14.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:23,2013/08/04T00:39:23,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:24,2013/08/04T00:39:24,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:27,2013/08/04T00:39:28,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:28,2013/08/04T00:39:29,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:29,2013/08/04T00:39:29,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:29,2013/08/04T00:39:32,          7.667,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:30,2013/08/04T00:39:30,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:32,2013/08/04T00:39:32,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:38,2013/08/04T00:39:38,         15.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:38,2013/08/04T00:39:47,          0.333,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:39,2013/08/04T00:39:39,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:40,2013/08/04T00:39:40,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:44,2013/08/04T00:39:47,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:47,2013/08/04T00:39:47,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:50,2013/08/04T00:39:50,         16.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:51,2013/08/04T00:39:51,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:53,2013/08/04T00:39:53,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:39:58,2013/08/04T00:39:58,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:01,2013/08/04T00:40:01,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:05,2013/08/04T00:40:05,          8.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:09,2013/08/04T00:40:09,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:10,2013/08/04T00:40:10,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:11,2013/08/04T00:40:11,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:12,2013/08/04T00:40:12,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:13,2013/08/04T00:40:14,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:14,2013/08/04T00:40:14,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:19,2013/08/04T00:40:19,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:29,2013/08/04T00:40:29,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:30,2013/08/04T00:40:31,         15.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:31,2013/08/04T00:40:31,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:32,2013/08/04T00:40:32,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:40,2013/08/04T00:40:40,         15.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:45,2013/08/04T00:40:45,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:40:49,2013/08/04T00:40:49,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:00,2013/08/04T00:41:01,         13.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:01,2013/08/04T00:41:01,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:06,2013/08/04T00:41:06,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:07,2013/08/04T00:41:07,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:08,2013/08/04T00:41:08,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:10,2013/08/04T00:41:10,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:12,2013/08/04T00:41:12,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:16,2013/08/04T00:41:16,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:17,2013/08/04T00:41:17,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:20,2013/08/04T00:41:20,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:22,2013/08/04T00:41:22,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:23,2013/08/04T00:41:23,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:27,2013/08/04T00:41:27,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:32,2013/08/04T00:41:32,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:33,2013/08/04T00:41:33,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:39,2013/08/04T00:41:39,         11.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:39,2013/08/04T00:41:40,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/04T00:41:40,2013/08/04T00:41:40,          4.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:46:47,2013/08/03T21:46:47,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:46:49,2013/08/03T21:46:49,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:46:51,2013/08/03T21:46:51,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:46:56,2013/08/03T21:46:56,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:46:59,2013/08/03T21:46:59,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:01,2013/08/03T21:47:01,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:02,2013/08/03T21:47:02,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:06,2013/08/03T21:47:17,          1.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:08,2013/08/03T21:47:08,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:18,2013/08/03T21:47:18,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:19,2013/08/03T21:47:19,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:20,2013/08/03T21:47:20,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:21,2013/08/03T21:47:21,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:22,2013/08/03T21:47:22,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:23,2013/08/03T21:47:23,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:25,2013/08/03T21:47:25,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:28,2013/08/03T21:47:28,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:29,2013/08/03T21:47:29,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:30,2013/08/03T21:47:30,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:32,2013/08/03T21:47:32,          7.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:33,2013/08/03T21:47:33,         11.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:37,2013/08/03T21:47:37,         11.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:38,2013/08/03T21:47:38,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:40,2013/08/03T21:47:40,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:41,2013/08/03T21:47:41,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:43,2013/08/03T21:47:43,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:47,2013/08/03T21:47:47,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:49,2013/08/03T21:47:49,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:50,2013/08/03T21:47:50,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:51,2013/08/03T21:47:51,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:53,2013/08/03T21:47:53,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:54,2013/08/03T21:47:54,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:54,2013/08/03T21:47:55,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:55,2013/08/03T21:47:55,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:57,2013/08/03T21:47:57,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:47:58,2013/08/03T21:47:58,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:03,2013/08/03T21:48:03,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:04,2013/08/03T21:48:04,         31.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:05,2013/08/03T21:48:05,        122.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:06,2013/08/03T21:48:06,        233.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:07,2013/08/03T21:48:07,        217.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:08,2013/08/03T21:48:08,        214.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:09,2013/08/03T21:48:09,        200.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:10,2013/08/03T21:48:10,        186.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:11,2013/08/03T21:48:11,        228.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:11,2013/08/03T21:48:12,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:12,2013/08/03T21:48:12,        257.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:13,2013/08/03T21:48:13,        261.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:14,2013/08/03T21:48:14,        238.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:15,2013/08/03T21:48:15,        220.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:16,2013/08/03T21:48:16,        228.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:17,2013/08/03T21:48:17,        186.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:18,2013/08/03T21:48:18,        204.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:19,2013/08/03T21:48:19,        221.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:20,2013/08/03T21:48:20,        237.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:21,2013/08/03T21:48:21,        138.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:23,2013/08/03T21:48:23,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:25,2013/08/03T21:48:25,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:27,2013/08/03T21:48:27,          5.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:29,2013/08/03T21:48:29,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:33,2013/08/03T21:48:33,          6.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:34,2013/08/03T21:48:34,          9.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:39,2013/08/03T21:48:39,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:40,2013/08/03T21:48:40,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:44,2013/08/03T21:48:44,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:45,2013/08/03T21:48:45,          3.000,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:45,2013/08/03T21:48:50,          1.400,
                               10.5.5.2,                              10.5.20.2,2013/08/03T21:48:46,2013/08/03T21:48:46,          2.000,
