                               10.5.5.2,                              10.5.14.2,2013/08/03T17:15:33,2013/08/03T17:15:33,          4.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:15:34,2013/08/03T17:15:35,          9.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:15:43,2013/08/03T17:15:43,          7.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:15:52,2013/08/03T17:15:52,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:15:54,2013/08/03T17:15:54,          9.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:01,2013/08/03T17:16:01,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:33,2013/08/03T17:16:33,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:33,2013/08/03T17:16:34,         11.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:34,2013/08/03T17:16:34,          1.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:39,2013/08/03T17:16:39,         11.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:44,2013/08/03T17:16:45,         11.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:45,2013/08/03T17:16:45,          6.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:47,2013/08/03T17:16:47,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:16:58,2013/08/03T17:16:58,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:17:03,2013/08/03T17:17:18,          0.267,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:17:10,2013/08/03T17:17:10,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:17:12,2013/08/03T17:17:12,          4.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:17:17,2013/08/03T17:17:17,          3.000,
                               10.5.5.2,                              10.5.14.2,2013/08/03T17:17:18,2013/08/03T17:17:18,          3.000,
