                               10.5.5.2,                              10.5.10.2,2013/08/03T17:15:26,2013/08/03T17:15:26,          2.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:15:30,2013/08/03T17:15:30,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:15:51,2013/08/03T17:15:51,          4.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:06,2013/08/03T17:16:06,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:14,2013/08/03T17:16:14,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:17,2013/08/03T17:16:17,          4.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:20,2013/08/03T17:16:20,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:22,2013/08/03T17:16:22,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:24,2013/08/03T17:16:24,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:27,2013/08/03T17:16:27,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:46,2013/08/03T17:16:46,          4.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:49,2013/08/03T17:16:49,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:16:53,2013/08/03T17:16:54,         24.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:17:02,2013/08/03T17:17:02,         10.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:17:05,2013/08/03T17:17:05,         11.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:17:16,2013/08/03T17:17:16,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:17:29,2013/08/03T17:17:29,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:17:31,2013/08/03T17:17:31,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:00,2013/08/03T17:18:01,          4.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:01,2013/08/03T17:18:01,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:03,2013/08/03T17:18:03,          5.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:06,2013/08/03T17:18:06,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:08,2013/08/03T17:18:08,          7.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:11,2013/08/03T17:18:11,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:14,2013/08/03T17:18:14,          6.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:15,2013/08/03T17:18:20,        469.800,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:16,2013/08/03T17:18:16,         12.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:20,2013/08/03T17:18:21,         10.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:32,2013/08/03T17:18:32,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:33,2013/08/03T17:18:33,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:34,2013/08/03T17:18:34,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:44,2013/08/03T17:18:46,          6.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:46,2013/08/03T17:18:46,          7.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:18:56,2013/08/03T17:18:56,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:03,2013/08/03T17:19:03,         13.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:03,2013/08/03T17:19:04,         14.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:05,2013/08/03T17:19:05,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:42,2013/08/03T17:19:42,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:50,2013/08/03T17:19:50,         11.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:51,2013/08/03T17:19:54,          2.667,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:19:56,2013/08/03T17:19:56,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/03T17:20:07,2013/08/03T17:20:07,          6.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:41,2013/08/04T00:36:41,         12.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:44,2013/08/04T00:36:44,         14.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:46,2013/08/04T00:36:46,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:47,2013/08/04T00:36:47,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:48,2013/08/04T00:36:49,          3.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:49,2013/08/04T00:36:49,          6.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T00:36:51,2013/08/04T00:36:51,          6.000,
