                               10.5.5.2,                               10.5.3.2,2013/08/03T17:15:32,2013/08/03T17:15:32,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:15:35,2013/08/03T17:15:35,          5.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:15:50,2013/08/03T17:15:50,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:15:53,2013/08/03T17:15:53,          9.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:04,2013/08/03T17:16:04,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:25,2013/08/03T17:16:25,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:41,2013/08/03T17:16:41,          2.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:48,2013/08/03T17:16:48,          6.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:53,2013/08/03T17:16:54,          1.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:54,2013/08/03T17:16:54,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:16:59,2013/08/03T17:16:59,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:01,2013/08/03T17:17:01,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:03,2013/08/03T17:17:03,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:25,2013/08/03T17:17:25,          6.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:27,2013/08/03T17:17:27,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:35,2013/08/03T17:17:35,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:39,2013/08/03T17:17:39,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:46,2013/08/03T17:17:46,         11.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:47,2013/08/03T17:17:47,          1.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:17:53,2013/08/03T17:17:53,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:18:08,2013/08/03T17:18:08,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:18:16,2013/08/03T17:18:16,          7.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:18:33,2013/08/03T17:18:33,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:18:45,2013/08/03T17:18:45,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:18:48,2013/08/03T17:18:48,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:19:02,2013/08/03T17:19:02,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:19:44,2013/08/03T17:19:45,         10.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:19:49,2013/08/03T17:19:49,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:19:56,2013/08/03T17:19:56,         10.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:20:10,2013/08/03T17:20:11,          9.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:20:11,2013/08/03T17:20:11,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:20:12,2013/08/03T17:20:12,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/03T17:20:15,2013/08/03T17:20:15,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:41,2013/08/04T00:36:41,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:44,2013/08/04T00:36:44,          1.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:44,2013/08/04T00:36:49,          1.400,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:47,2013/08/04T00:36:47,          6.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:48,2013/08/04T00:36:48,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:49,2013/08/04T00:36:49,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:51,2013/08/04T00:36:51,         12.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:53,2013/08/04T00:36:53,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:54,2013/08/04T00:36:54,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:57,2013/08/04T00:36:57,          3.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:36:59,2013/08/04T00:36:59,         16.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:37:00,2013/08/04T00:37:01,          4.000,
                               10.5.5.2,                               10.5.3.2,2013/08/04T00:37:03,2013/08/04T00:37:03,         13.000,
