                               10.5.5.2,                              10.5.17.2,2013/08/03T17:15:24,2013/08/03T17:15:24,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:15:34,2013/08/03T17:15:34,         13.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:15:35,2013/08/03T17:15:35,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:15:48,2013/08/03T17:15:48,         10.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:15:57,2013/08/03T17:15:57,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:17,2013/08/03T17:16:17,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:31,2013/08/03T17:16:31,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:42,2013/08/03T17:16:43,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:45,2013/08/03T17:16:45,         12.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:53,2013/08/03T17:16:53,         12.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:16:57,2013/08/03T17:16:57,         10.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:10,2013/08/03T17:17:10,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:20,2013/08/03T17:17:20,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:50,2013/08/03T17:17:55,        552.400,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:51,2013/08/03T17:17:51,          6.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:51,2013/08/03T17:17:52,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:17:52,2013/08/03T17:17:52,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:25,2013/08/03T17:18:26,         10.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:29,2013/08/03T17:18:30,         68.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:30,2013/08/03T17:18:30,         11.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:33,2013/08/03T17:18:33,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:34,2013/08/03T17:18:34,          8.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:18:40,2013/08/03T17:18:46,        447.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:19:02,2013/08/03T17:19:02,          7.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:19:29,2013/08/03T17:19:29,          4.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:19:54,2013/08/03T17:19:54,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:19:56,2013/08/03T17:19:57,       1380.000,
                               10.5.5.2,                              10.5.17.2,2013/08/03T17:20:08,2013/08/03T17:20:08,          7.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:42,2013/08/04T00:36:42,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:42,2013/08/04T00:36:43,          6.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:43,2013/08/04T00:36:43,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:44,2013/08/04T00:36:45,          8.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:44,2013/08/04T00:36:50,          0.833,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:45,2013/08/04T00:36:45,          7.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:49,2013/08/04T00:36:50,         13.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:50,2013/08/04T00:36:50,         15.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:51,2013/08/04T00:36:52,          5.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:52,2013/08/04T00:36:53,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:55,2013/08/04T00:36:55,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:36:58,2013/08/04T00:36:58,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:07,2013/08/04T00:37:07,         16.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:08,2013/08/04T00:37:08,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:09,2013/08/04T00:37:14,          1.400,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:10,2013/08/04T00:37:10,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:10,2013/08/04T00:37:16,          0.833,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:11,2013/08/04T00:37:11,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:14,2013/08/04T00:37:14,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T00:37:15,2013/08/04T00:37:15,         20.000,
