                               10.5.5.2,                               10.5.4.2,2013/08/03T17:15:41,2013/08/03T17:15:41,          5.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:15:48,2013/08/03T17:15:49,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:03,2013/08/03T17:16:03,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:10,2013/08/03T17:16:15,        530.600,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:24,2013/08/03T17:16:27,          2.667,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:33,2013/08/03T17:16:33,          5.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:35,2013/08/03T17:16:35,         10.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:42,2013/08/03T17:16:42,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:44,2013/08/03T17:16:44,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:46,2013/08/03T17:16:46,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:16:59,2013/08/03T17:16:59,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:17:46,2013/08/03T17:17:46,          7.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:17:58,2013/08/03T17:17:58,          5.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:00,2013/08/03T17:18:02,          2.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:03,2013/08/03T17:18:03,         11.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:08,2013/08/03T17:18:08,          6.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:12,2013/08/03T17:18:12,          8.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:14,2013/08/03T17:18:14,         11.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:18:53,2013/08/03T17:18:53,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:04,2013/08/03T17:19:04,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:20,2013/08/03T17:19:20,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:23,2013/08/03T17:19:23,          9.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:26,2013/08/03T17:19:26,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:44,2013/08/03T17:19:44,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:48,2013/08/03T17:19:48,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:19:48,2013/08/03T17:19:49,         11.000,
                               10.5.5.2,                               10.5.4.2,2013/08/03T17:20:05,2013/08/03T17:20:05,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:40,2013/08/04T00:41:40,          0.910,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:42,2013/08/04T00:36:42,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:43,2013/08/04T00:36:43,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:44,2013/08/04T00:36:44,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:44,2013/08/04T00:36:45,         13.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:45,2013/08/04T00:36:45,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:46,2013/08/04T00:36:46,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:49,2013/08/04T00:36:49,         26.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:50,2013/08/04T00:36:50,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:52,2013/08/04T00:36:58,          0.833,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:53,2013/08/04T00:36:53,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:55,2013/08/04T00:36:55,          9.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:58,2013/08/04T00:36:58,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:36:59,2013/08/04T00:36:59,         13.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:00,2013/08/04T00:37:00,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:00,2013/08/04T00:37:01,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:03,2013/08/04T00:37:03,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:04,2013/08/04T00:37:04,          6.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:06,2013/08/04T00:37:06,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:12,2013/08/04T00:37:13,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:13,2013/08/04T00:37:13,          7.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:14,2013/08/04T00:37:14,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:15,2013/08/04T00:37:15,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:16,2013/08/04T00:37:16,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:18,2013/08/04T00:37:18,          8.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:20,2013/08/04T00:37:20,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:21,2013/08/04T00:37:21,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:22,2013/08/04T00:37:22,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:23,2013/08/04T00:37:23,         10.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:24,2013/08/04T00:37:24,          7.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:26,2013/08/04T00:37:26,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:27,2013/08/04T00:37:27,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:27,2013/08/04T00:37:28,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:28,2013/08/04T00:37:28,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:31,2013/08/04T00:37:31,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:32,2013/08/04T00:37:32,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:33,2013/08/04T00:37:34,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:34,2013/08/04T00:37:34,          5.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:40,2013/08/04T00:37:40,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:43,2013/08/04T00:37:43,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:45,2013/08/04T00:37:45,          8.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:45,2013/08/04T00:37:46,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:46,2013/08/04T00:37:46,         10.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:47,2013/08/04T00:37:47,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:51,2013/08/04T00:37:51,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:52,2013/08/04T00:37:52,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:53,2013/08/04T00:37:53,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:53,2013/08/04T00:37:55,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:54,2013/08/04T00:37:54,          6.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:56,2013/08/04T00:37:57,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:57,2013/08/04T00:37:57,          7.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:57,2013/08/04T00:38:07,          0.900,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:58,2013/08/04T00:37:58,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:37:59,2013/08/04T00:37:59,         14.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:01,2013/08/04T00:38:01,          5.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:03,2013/08/04T00:38:03,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:03,2013/08/04T00:38:38,          0.286,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:05,2013/08/04T00:38:09,          2.250,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:06,2013/08/04T00:38:12,          0.667,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:07,2013/08/04T00:38:07,          9.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:09,2013/08/04T00:38:09,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:11,2013/08/04T00:38:11,          8.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:13,2013/08/04T00:38:13,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:16,2013/08/04T00:38:16,         12.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:18,2013/08/04T00:38:18,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:20,2013/08/04T00:38:20,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:22,2013/08/04T00:38:22,          6.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T00:38:23,2013/08/04T00:38:23,          8.000,
