                               10.5.5.2,                              10.5.11.2,2013/08/03T17:15:16,2013/08/03T17:15:16,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:15:49,2013/08/03T17:15:49,          6.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:03,2013/08/03T17:16:03,          4.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:08,2013/08/03T17:16:08,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:14,2013/08/03T17:16:15,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:19,2013/08/03T17:16:19,          6.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:30,2013/08/03T17:16:30,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:38,2013/08/03T17:16:38,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:43,2013/08/03T17:16:43,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:45,2013/08/03T17:16:45,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:50,2013/08/03T17:16:50,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:55,2013/08/03T17:16:55,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:16:57,2013/08/03T17:16:57,          6.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:01,2013/08/03T17:17:02,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:09,2013/08/03T17:17:09,          5.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:20,2013/08/03T17:17:20,          5.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:28,2013/08/03T17:17:28,          4.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:30,2013/08/03T17:17:31,         10.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:35,2013/08/03T17:17:35,          4.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:38,2013/08/03T17:17:38,          6.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:41,2013/08/03T17:17:41,          6.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:17:50,2013/08/03T17:17:50,          7.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:18:07,2013/08/03T17:18:07,          7.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:18:10,2013/08/03T17:18:10,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:18:20,2013/08/03T17:18:20,          4.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:18:21,2013/08/03T17:18:21,          3.000,
                               10.5.5.2,                              10.5.11.2,2013/08/03T17:18:51,2013/08/03T17:18:51,          3.000,
