                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:19,2013/08/03T17:15:20,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:20,2013/08/03T17:15:20,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:25,2013/08/03T17:15:25,          4.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:41,2013/08/03T17:15:41,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:46,2013/08/03T17:15:46,         11.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:56,2013/08/03T17:15:56,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:15:56,2013/08/03T17:15:57,         11.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:11,2013/08/03T17:16:12,          6.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:12,2013/08/03T17:16:12,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:28,2013/08/03T17:16:29,         11.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:33,2013/08/03T17:16:33,         25.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:51,2013/08/03T17:16:53,          5.500,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:16:54,2013/08/03T17:16:54,          2.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:01,2013/08/03T17:17:01,         10.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:23,2013/08/03T17:17:23,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:25,2013/08/03T17:17:30,        636.200,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:33,2013/08/03T17:17:33,         27.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:36,2013/08/03T17:17:36,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:40,2013/08/03T17:17:40,          3.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:47,2013/08/03T17:17:47,          4.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:52,2013/08/03T17:17:53,          4.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:17:57,2013/08/03T17:17:59,          6.000,
                               10.5.5.2,                               10.5.8.2,2013/08/03T17:18:16,2013/08/03T17:18:16,         11.000,
