                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:18,2013/08/03T21:00:18,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:22,2013/08/03T21:00:22,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:23,2013/08/03T21:00:23,          7.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         14.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:27,2013/08/03T21:00:28,          5.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:27,2013/08/03T21:00:37,          0.800,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:28,2013/08/03T21:00:28,         20.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:29,2013/08/03T21:00:29,         54.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:30,2013/08/03T21:00:30,        100.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:32,2013/08/03T21:00:32,         71.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:32,2013/08/03T21:00:33,         69.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:33,2013/08/03T21:00:33,         73.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         77.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:35,2013/08/03T21:00:35,         17.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:36,2013/08/03T21:00:36,         48.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:36,2013/08/03T21:00:37,          4.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:37,2013/08/03T21:00:37,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:37,2013/08/03T21:00:38,         53.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:41,2013/08/03T21:00:41,         73.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:41,2013/08/03T21:00:42,         73.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:43,2013/08/03T21:00:43,        169.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:44,2013/08/03T21:00:44,        137.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:44,2013/08/03T21:00:45,         70.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:45,2013/08/03T21:00:45,         70.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:45,2013/08/03T21:00:46,         57.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:48,2013/08/03T21:00:48,         72.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:48,2013/08/03T21:00:49,          8.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:50,2013/08/03T21:00:50,         21.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:53,2013/08/03T21:00:53,         65.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:56,2013/08/03T21:00:56,         54.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:56,2013/08/03T21:00:57,         60.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:57,2013/08/03T21:00:57,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:00:59,2013/08/03T21:00:59,         59.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:01,2013/08/03T21:01:01,          6.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:01,2013/08/03T21:01:02,         82.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:02,2013/08/03T21:01:02,          2.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:03,2013/08/03T21:01:03,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:05,2013/08/03T21:01:05,         71.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:06,2013/08/03T21:01:06,         38.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:08,2013/08/03T21:01:08,         76.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:09,2013/08/03T21:01:10,         40.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:14,2013/08/03T21:01:14,         74.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:16,2013/08/03T21:01:16,         77.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:17,2013/08/03T21:01:20,          2.667,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:19,2013/08/03T21:01:19,         42.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:20,2013/08/03T21:01:20,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:26,2013/08/03T21:01:26,         68.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:27,2013/08/03T21:01:27,         52.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:28,2013/08/03T21:01:28,         70.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:34,2013/08/03T21:01:34,         54.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:35,2013/08/03T21:01:35,         70.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:36,2013/08/03T21:01:36,         40.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         68.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:38,2013/08/03T21:01:38,         63.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:40,2013/08/03T21:01:40,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:41,2013/08/03T21:01:41,         68.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:41,2013/08/03T21:01:43,         33.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:43,2013/08/03T21:01:43,          3.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:43,2013/08/03T21:03:44,          0.066,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:46,2013/08/03T21:01:46,         67.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:48,2013/08/03T21:01:48,        130.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:49,2013/08/03T21:01:50,         60.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:52,2013/08/03T21:01:52,          1.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:52,2013/08/03T21:01:53,         66.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:54,2013/08/03T21:01:55,         68.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:56,2013/08/03T21:01:57,          5.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:57,2013/08/03T21:01:57,         52.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:01:58,2013/08/03T21:01:58,         54.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:02:00,2013/08/03T21:02:00,         50.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:02:01,2013/08/03T21:02:01,         39.000,
                              10.5.17.2,                              10.5.18.2,2013/08/03T21:02:03,2013/08/03T21:02:03,         57.000,
