                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:16,2013/08/03T21:00:36,          3.900,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:18,2013/08/03T21:00:18,          1.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:18,2013/08/03T21:00:19,         80.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:19,2013/08/03T21:00:19,         47.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:22,2013/08/03T21:00:23,         72.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:24,2013/08/03T21:00:24,        199.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:25,2013/08/03T21:00:25,         47.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:29,2013/08/03T21:00:29,         18.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:30,2013/08/03T21:00:30,          4.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:31,2013/08/03T21:00:31,        117.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:33,2013/08/03T21:00:33,          8.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:34,2013/08/03T21:00:34,          3.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:34,2013/08/03T21:00:35,         54.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:39,2013/08/03T21:00:39,         77.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:45,2013/08/03T21:00:45,         71.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         50.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:00:51,2013/08/03T21:00:51,         98.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:04,2013/08/03T21:01:04,         63.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:04,2013/08/03T21:01:05,         25.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:05,2013/08/03T21:01:05,          1.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:07,2013/08/03T21:01:07,         70.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:07,2013/08/03T21:01:08,         51.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:09,2013/08/03T21:01:10,         67.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:10,2013/08/03T21:01:10,         76.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:13,2013/08/03T21:01:13,         78.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:15,2013/08/03T21:01:15,         78.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:20,2013/08/03T21:01:21,         44.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:22,2013/08/03T21:01:22,         65.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:23,2013/08/03T21:01:23,         43.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:25,2013/08/03T21:01:25,         55.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:27,2013/08/03T21:01:29,          7.500,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:29,2013/08/03T21:01:30,         68.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:30,2013/08/03T21:01:30,          1.000,
                              10.5.17.2,                              10.5.19.2,2013/08/03T21:01:32,2013/08/03T21:01:32,         61.000,
