                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:17,2013/08/03T21:00:18,          5.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:18,2013/08/03T21:00:18,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:18,2013/08/03T21:00:19,         64.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:19,2013/08/03T21:00:19,         68.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:19,2013/08/03T21:00:20,        161.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:20,2013/08/03T21:00:20,          4.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:21,2013/08/03T21:00:22,         96.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:22,2013/08/03T21:00:22,         76.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:23,2013/08/03T21:00:23,        105.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:23,2013/08/03T21:01:03,          0.025,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:24,2013/08/03T21:00:24,         29.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:25,2013/08/03T21:00:25,         56.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         34.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:32,2013/08/03T21:00:32,          3.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         80.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:35,2013/08/03T21:00:35,         72.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:38,2013/08/03T21:00:38,         62.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:39,2013/08/03T21:00:39,         77.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:40,2013/08/03T21:00:40,         75.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:41,2013/08/03T21:00:42,         55.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:42,2013/08/03T21:00:42,         64.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:43,2013/08/03T21:00:43,        124.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:45,2013/08/03T21:00:45,        117.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:48,2013/08/03T21:00:48,         54.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:51,2013/08/03T21:00:52,         71.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:52,2013/08/03T21:00:52,          5.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:54,2013/08/03T21:00:54,         46.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:55,2013/08/03T21:00:55,          9.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:00:57,2013/08/03T21:00:57,         73.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:03,2013/08/03T21:01:03,         68.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:07,2013/08/03T21:01:07,         57.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:11,2013/08/03T21:01:20,          1.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:13,2013/08/03T21:01:13,         51.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:14,2013/08/03T21:01:14,         61.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:17,2013/08/03T21:01:17,         50.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:19,2013/08/03T21:01:19,         57.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:21,2013/08/03T21:01:21,         52.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:26,2013/08/03T21:01:26,         19.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:27,2013/08/03T21:01:27,         74.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:30,2013/08/03T21:01:30,         15.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:30,2013/08/03T21:01:31,          4.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:31,2013/08/03T21:01:31,         75.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:32,2013/08/03T21:01:32,        113.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:33,2013/08/03T21:01:33,        138.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:34,2013/08/03T21:01:34,        108.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:35,2013/08/03T21:01:35,         53.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:36,2013/08/03T21:01:37,         49.000,
                              10.5.17.2,                              10.5.20.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         94.000,
