                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:16,2013/08/03T21:00:16,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:17,2013/08/03T21:00:17,         55.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:18,2013/08/03T21:00:18,         78.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:23,2013/08/03T21:00:23,         54.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:24,2013/08/03T21:00:24,         71.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:24,2013/08/03T21:00:26,         36.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:25,2013/08/03T21:00:25,         27.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:26,2013/08/03T21:00:26,          2.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:28,2013/08/03T21:00:29,         74.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:30,2013/08/03T21:00:30,         66.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:33,2013/08/03T21:00:33,         10.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:33,2013/08/03T21:01:03,          0.167,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:34,2013/08/03T21:00:34,        140.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:35,2013/08/03T21:00:35,        125.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:35,2013/08/03T21:00:37,         35.500,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:35,2013/08/03T21:00:42,          5.143,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:37,2013/08/03T21:00:37,          2.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:41,2013/08/03T21:00:41,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:42,2013/08/03T21:00:42,         77.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         74.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:52,2013/08/03T21:00:52,         61.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:53,2013/08/03T21:00:55,         36.500,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:54,2013/08/03T21:00:54,         46.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:55,2013/08/03T21:00:55,        140.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:56,2013/08/03T21:00:56,         69.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:57,2013/08/03T21:00:57,        139.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:58,2013/08/03T21:00:58,         73.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:58,2013/08/03T21:01:02,         19.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:00:59,2013/08/03T21:00:59,         61.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:00,2013/08/03T21:01:00,         54.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:01,2013/08/03T21:01:01,         63.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:02,2013/08/03T21:01:02,         75.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:03,2013/08/03T21:01:03,         77.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:04,2013/08/03T21:01:04,         73.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:05,2013/08/03T21:01:05,         81.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:06,2013/08/03T21:01:06,         79.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:07,2013/08/03T21:01:07,         69.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:10,2013/08/03T21:01:10,         84.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:13,2013/08/03T21:01:23,          0.600,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:15,2013/08/03T21:01:15,         72.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:16,2013/08/03T21:01:16,         42.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:18,2013/08/03T21:01:18,         43.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:21,2013/08/03T21:01:21,         40.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:22,2013/08/03T21:01:22,         70.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:24,2013/08/03T21:01:24,         51.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:25,2013/08/03T21:01:25,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:28,2013/08/03T21:01:28,         34.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:30,2013/08/03T21:01:30,         71.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:31,2013/08/03T21:01:31,        170.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:32,2013/08/03T21:01:32,         71.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:36,2013/08/03T21:01:36,         11.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:40,2013/08/03T21:01:40,        147.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:41,2013/08/03T21:01:41,          8.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:42,2013/08/03T21:01:42,          7.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:42,2013/08/03T21:01:43,         69.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:43,2013/08/03T21:01:43,        153.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:45,2013/08/03T21:01:45,        150.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:45,2013/08/03T21:01:46,         68.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:46,2013/08/03T21:01:46,         68.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:48,2013/08/03T21:01:48,        116.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         88.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:49,2013/08/03T21:01:50,         68.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:50,2013/08/03T21:01:50,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:51,2013/08/03T21:01:51,        129.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:51,2013/08/03T21:01:52,         52.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:54,2013/08/03T21:01:54,         33.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:55,2013/08/03T21:01:55,         68.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:01:59,2013/08/03T21:02:00,         70.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:00,2013/08/03T21:02:00,         55.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:04,2013/08/03T21:02:04,        112.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:05,2013/08/03T21:02:05,         68.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:08,2013/08/03T21:02:09,         74.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:09,2013/08/03T21:02:09,          1.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:10,2013/08/03T21:02:10,        110.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:13,2013/08/03T21:02:13,         51.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:14,2013/08/03T21:02:14,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:15,2013/08/03T21:02:15,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:16,2013/08/03T21:02:16,         12.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         12.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:18,2013/08/03T21:02:18,         13.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:20,2013/08/03T21:02:20,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:23,2013/08/03T21:02:23,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:24,2013/08/03T21:02:24,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:27,2013/08/03T21:02:27,          6.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:32,2013/08/03T21:02:32,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:33,2013/08/03T21:02:33,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:38,2013/08/03T21:02:39,         24.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:39,2013/08/03T21:02:39,          3.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:43,2013/08/03T21:02:43,          8.000,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:43,2013/08/03T21:02:53,          0.500,
                              10.5.17.2,                               10.5.7.2,2013/08/03T21:02:45,2013/08/03T21:02:45,         11.000,
