                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:16,2013/08/03T21:00:16,         46.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:20,2013/08/03T21:00:21,         37.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:21,2013/08/03T21:00:21,         69.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         42.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:27,2013/08/03T21:00:27,         58.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:30,2013/08/03T21:00:30,         77.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:31,2013/08/03T21:00:31,         71.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:32,2013/08/03T21:00:32,         69.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:33,2013/08/03T21:00:35,         44.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:34,2013/08/03T21:00:34,          5.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:35,2013/08/03T21:00:35,          1.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:36,2013/08/03T21:00:36,         70.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:39,2013/08/03T21:00:40,          4.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:40,2013/08/03T21:00:40,        120.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:42,2013/08/03T21:00:42,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:42,2013/08/03T21:00:43,         63.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:43,2013/08/03T21:00:43,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:44,2013/08/03T21:00:44,         78.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:45,2013/08/03T21:00:45,         86.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         55.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:48,2013/08/03T21:00:48,         76.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:48,2013/08/03T21:00:49,         67.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:49,2013/08/03T21:00:49,         40.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:49,2013/08/03T21:00:51,         35.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:51,2013/08/03T21:00:51,          2.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:52,2013/08/03T21:00:52,         40.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:54,2013/08/03T21:00:54,         90.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:56,2013/08/03T21:00:56,         51.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:00:57,2013/08/03T21:00:57,         77.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:00,2013/08/03T21:01:00,         48.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:02,2013/08/03T21:01:03,         56.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:05,2013/08/03T21:01:05,         48.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:14,2013/08/03T21:01:14,         69.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:15,2013/08/03T21:01:15,         53.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:15,2013/08/03T21:02:15,          0.117,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:17,2013/08/03T21:01:17,        129.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:17,2013/08/03T21:01:20,          2.333,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:20,2013/08/03T21:01:20,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:23,2013/08/03T21:01:23,        201.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:29,2013/08/03T21:01:29,         78.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:32,2013/08/03T21:01:32,         61.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:33,2013/08/03T21:01:33,         10.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:38,2013/08/03T21:01:38,         68.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:42,2013/08/03T21:01:42,         55.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:44,2013/08/03T21:01:44,        171.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:45,2013/08/03T21:01:45,         18.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:47,2013/08/03T21:01:47,         59.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:49,2013/08/03T21:01:49,         69.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:01:51,2013/08/03T21:01:51,         67.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:01,2013/08/03T21:02:01,         88.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:02,2013/08/03T21:02:02,         12.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:03,2013/08/03T21:02:04,          2.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:04,2013/08/03T21:02:04,         85.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:05,2013/08/03T21:02:05,         69.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:07,2013/08/03T21:02:07,         50.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:08,2013/08/03T21:02:09,         71.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:09,2013/08/03T21:02:09,         48.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:11,2013/08/03T21:02:11,         68.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:12,2013/08/03T21:02:12,         49.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:13,2013/08/03T21:02:13,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:14,2013/08/03T21:02:14,         19.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:15,2013/08/03T21:02:15,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:16,2013/08/03T21:02:16,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:17,2013/08/03T21:02:17,         12.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:17,2013/08/03T21:02:18,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:20,2013/08/03T21:02:20,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:21,2013/08/03T21:02:21,          9.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:22,2013/08/03T21:02:22,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:24,2013/08/03T21:02:24,          9.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:27,2013/08/03T21:02:27,          9.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:28,2013/08/03T21:02:28,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:30,2013/08/03T21:02:30,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:31,2013/08/03T21:02:31,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:32,2013/08/03T21:02:32,         18.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:33,2013/08/03T21:02:33,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:35,2013/08/03T21:02:35,         15.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:39,2013/08/03T21:02:39,         16.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:39,2013/08/03T21:02:40,         17.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:40,2013/08/03T21:02:41,         57.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:41,2013/08/03T21:02:41,         19.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:43,2013/08/03T21:02:43,         17.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:45,2013/08/03T21:02:45,         11.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:47,2013/08/03T21:02:47,         21.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:49,2013/08/03T21:02:49,         22.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:50,2013/08/03T21:02:50,          1.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:52,2013/08/03T21:02:52,         31.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:54,2013/08/03T21:02:54,         17.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:55,2013/08/03T21:02:55,         15.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:56,2013/08/03T21:02:56,          7.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:56,2013/08/03T21:02:59,          2.333,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:58,2013/08/03T21:02:58,          6.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:02:59,2013/08/03T21:02:59,          3.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:00,2013/08/03T21:03:01,         63.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:01,2013/08/03T21:03:01,         19.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:01,2013/08/03T21:03:02,        121.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:02,2013/08/03T21:03:02,          4.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:04,2013/08/03T21:03:04,         16.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:08,2013/08/03T21:03:08,         12.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:11,2013/08/03T21:03:11,         45.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:12,2013/08/03T21:03:13,         11.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:18,2013/08/03T21:03:18,         16.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:18,2013/08/03T21:03:19,         27.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:19,2013/08/03T21:03:19,         19.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:20,2013/08/03T21:03:20,         10.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:23,2013/08/03T21:03:30,          5.286,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:26,2013/08/03T21:03:26,          7.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:27,2013/08/03T21:03:28,         51.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:29,2013/08/03T21:03:29,         26.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:35,2013/08/03T21:03:35,          7.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:40,2013/08/03T21:03:40,          9.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:42,2013/08/03T21:03:42,          7.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:45,2013/08/03T21:03:45,         51.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:45,2013/08/03T21:04:45,          0.117,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:52,2013/08/03T21:03:52,         23.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:52,2013/08/03T21:03:53,          8.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:53,2013/08/03T21:03:53,          8.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:57,2013/08/03T21:03:57,          7.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:58,2013/08/03T21:03:58,         25.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:03:59,2013/08/03T21:03:59,          1.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:04:01,2013/08/03T21:04:01,         10.000,
                              10.5.17.2,                              10.5.14.2,2013/08/03T21:04:01,2013/08/03T21:04:02,         10.000,
