                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:17,2013/08/03T21:00:17,         50.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:18,2013/08/03T21:00:18,         40.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:19,2013/08/03T21:00:19,         37.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:20,2013/08/03T21:00:20,         92.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:21,2013/08/03T21:00:21,        186.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         63.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:27,2013/08/03T21:00:27,         54.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:29,2013/08/03T21:00:29,         59.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         54.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:35,2013/08/03T21:00:35,         65.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:37,2013/08/03T21:00:37,         68.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:44,2013/08/03T21:00:44,        140.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:45,2013/08/03T21:00:45,         83.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:46,2013/08/03T21:00:46,          7.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:48,2013/08/03T21:01:08,          4.150,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:49,2013/08/03T21:00:49,         22.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:55,2013/08/03T21:00:55,         64.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:00:58,2013/08/03T21:00:58,         50.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:01:00,2013/08/03T21:01:00,         53.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:01:03,2013/08/03T21:01:04,          3.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:01:11,2013/08/03T21:01:11,         72.000,
                              10.5.17.2,                              10.5.10.2,2013/08/03T21:01:13,2013/08/03T21:01:13,         23.000,
