                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:19,2013/08/03T21:00:19,         42.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:21,2013/08/03T21:00:21,         51.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:23,2013/08/03T21:00:23,         19.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:24,2013/08/03T21:00:24,         13.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         52.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:28,2013/08/03T21:00:28,          6.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:28,2013/08/03T21:00:31,          2.333,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:28,2013/08/03T21:00:35,          5.286,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:31,2013/08/03T21:00:31,          3.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:32,2013/08/03T21:00:32,         77.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:33,2013/08/03T21:00:34,         36.500,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:35,2013/08/03T21:00:36,         83.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:37,2013/08/03T21:00:37,         71.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:41,2013/08/03T21:00:41,         53.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:43,2013/08/03T21:00:43,        179.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:44,2013/08/03T21:00:44,         67.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         55.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:46,2013/08/03T21:00:47,         79.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:47,2013/08/03T21:00:47,          2.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:47,2013/08/03T21:00:48,         76.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:48,2013/08/03T21:00:48,          2.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:52,2013/08/03T21:00:52,         33.000,
                              10.5.17.2,                               10.5.3.2,2013/08/03T21:00:53,2013/08/03T21:00:53,         51.000,
