                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:20,2013/08/03T21:00:20,         38.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:20,2013/08/03T21:00:21,         68.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:21,2013/08/03T21:00:21,         48.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:29,2013/08/03T21:00:29,         37.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:30,2013/08/03T21:00:30,          5.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:33,2013/08/03T21:00:33,         51.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         71.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:36,2013/08/03T21:00:38,         31.500,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:37,2013/08/03T21:00:37,          8.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:38,2013/08/03T21:00:38,          3.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:40,2013/08/03T21:01:00,          4.400,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:43,2013/08/03T21:00:44,          6.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:45,2013/08/03T21:00:45,         53.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         75.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:47,2013/08/03T21:00:47,          4.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:49,2013/08/03T21:00:50,          5.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:50,2013/08/03T21:00:50,         55.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:54,2013/08/03T21:00:54,          6.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:56,2013/08/03T21:00:56,        154.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:57,2013/08/03T21:00:57,         53.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:58,2013/08/03T21:00:58,         55.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:00:59,2013/08/03T21:00:59,          4.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:01,2013/08/03T21:01:01,         54.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:03,2013/08/03T21:01:03,         99.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:03,2013/08/03T21:01:11,          0.875,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:04,2013/08/03T21:01:04,         80.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:05,2013/08/03T21:01:05,         23.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:06,2013/08/03T21:01:06,         51.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:08,2013/08/03T21:01:08,          3.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:09,2013/08/03T21:01:10,          6.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:10,2013/08/03T21:01:10,         68.000,
                              10.5.17.2,                              10.5.16.2,2013/08/03T21:01:11,2013/08/03T21:01:11,        119.000,
