                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:16,2013/08/03T21:00:16,         68.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:19,2013/08/03T21:00:19,          7.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:21,2013/08/03T21:00:21,          3.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:21,2013/08/03T21:00:22,         39.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:22,2013/08/03T21:00:28,          4.333,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:24,2013/08/03T21:00:24,        104.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:27,2013/08/03T21:00:27,         55.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:28,2013/08/03T21:00:28,          9.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:31,2013/08/03T21:00:31,         36.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:33,2013/08/03T21:00:34,          7.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         25.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:35,2013/08/03T21:00:35,         38.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:39,2013/08/03T21:00:39,        153.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:40,2013/08/03T21:00:40,         98.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:44,2013/08/03T21:00:44,         55.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:46,2013/08/03T21:00:46,         80.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:56,2013/08/03T21:00:56,         82.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:00:57,2013/08/03T21:00:58,         58.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:03,2013/08/03T21:01:03,         77.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:03,2013/08/03T21:01:04,         71.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:04,2013/08/03T21:01:04,        128.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:05,2013/08/03T21:01:05,        112.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:07,2013/08/03T21:01:08,         67.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:08,2013/08/03T21:01:08,        127.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:11,2013/08/03T21:01:11,        118.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:12,2013/08/03T21:01:12,         50.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:14,2013/08/03T21:01:14,         21.000,
                              10.5.17.2,                               10.5.9.2,2013/08/03T21:01:15,2013/08/03T21:01:15,          6.000,
