                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:16,2013/08/03T21:00:16,         51.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:17,2013/08/03T21:00:17,          7.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:21,2013/08/03T21:00:21,          2.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:22,2013/08/03T21:00:22,         70.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:23,2013/08/03T21:00:23,         67.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:27,2013/08/03T21:00:27,        130.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:29,2013/08/03T21:00:30,         36.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:31,2013/08/03T21:00:31,         68.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:32,2013/08/03T21:00:32,         35.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:33,2013/08/03T21:00:33,         46.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:40,2013/08/03T21:00:41,         78.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:40,2013/08/03T21:00:42,         41.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:41,2013/08/03T21:00:41,          2.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:42,2013/08/03T21:00:42,         54.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:42,2013/08/03T21:00:48,          5.833,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:44,2013/08/03T21:00:44,         74.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:45,2013/08/03T21:00:47,         38.500,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:45,2013/08/03T21:01:55,          0.186,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:47,2013/08/03T21:00:47,         43.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:48,2013/08/03T21:00:48,         61.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:49,2013/08/03T21:00:49,         73.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:51,2013/08/03T21:00:51,         70.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:52,2013/08/03T21:00:52,          4.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:00:56,2013/08/03T21:00:56,         77.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:00,2013/08/03T21:01:01,         69.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:01,2013/08/03T21:01:01,          1.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:02,2013/08/03T21:01:03,          5.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:03,2013/08/03T21:01:03,          1.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:04,2013/08/03T21:01:05,         69.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:05,2013/08/03T21:01:05,          3.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:11,2013/08/03T21:01:11,         54.000,
                              10.5.17.2,                              10.5.13.2,2013/08/03T21:01:12,2013/08/03T21:01:12,         40.000,
