                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:16,2013/08/03T21:00:16,         71.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:16,2013/08/03T21:00:18,         38.500,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:18,2013/08/03T21:00:18,          1.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:23,2013/08/03T21:00:23,         19.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:25,2013/08/03T21:00:25,          1.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:25,2013/08/03T21:00:26,         45.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:26,2013/08/03T21:00:26,         53.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:27,2013/08/03T21:00:27,         33.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:30,2013/08/03T21:00:30,         77.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:30,2013/08/03T21:00:31,         65.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:31,2013/08/03T21:00:31,         84.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:32,2013/08/03T21:00:32,         76.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:34,2013/08/03T21:00:34,         72.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:37,2013/08/03T21:00:39,         36.750,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:39,2013/08/03T21:00:39,         10.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:40,2013/08/03T21:00:40,         76.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:41,2013/08/03T21:00:41,         42.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:43,2013/08/03T21:00:43,         73.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:43,2013/08/03T21:00:44,         67.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:44,2013/08/03T21:00:46,         39.500,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:46,2013/08/03T21:00:46,          1.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:47,2013/08/03T21:00:47,         57.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:48,2013/08/03T21:00:48,          4.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:49,2013/08/03T21:00:49,          6.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:55,2013/08/03T21:00:55,          6.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:00:58,2013/08/03T21:00:58,         71.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:03,2013/08/03T21:01:03,          5.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:05,2013/08/03T21:01:06,         67.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:06,2013/08/03T21:01:06,          8.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:07,2013/08/03T21:01:07,          4.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:08,2013/08/03T21:01:08,          4.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:08,2013/08/03T21:01:09,         64.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:09,2013/08/03T21:01:09,         30.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:10,2013/08/03T21:01:10,         31.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:10,2013/08/03T21:01:13,         25.667,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:12,2013/08/03T21:01:12,         53.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:13,2013/08/03T21:01:13,        136.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:15,2013/08/03T21:01:15,          7.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:16,2013/08/03T21:01:16,         35.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:18,2013/08/03T21:01:18,         46.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:18,2013/08/03T21:01:24,          0.833,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:22,2013/08/03T21:01:22,         63.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:24,2013/08/03T21:01:24,        173.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:26,2013/08/03T21:01:26,          3.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:26,2013/08/03T21:01:27,         57.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:29,2013/08/03T21:01:29,         63.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:31,2013/08/03T21:01:32,         38.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:33,2013/08/03T21:01:33,          1.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:35,2013/08/03T21:01:35,        124.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:36,2013/08/03T21:01:36,         14.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:36,2013/08/03T21:01:37,          4.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:37,2013/08/03T21:01:37,         66.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:39,2013/08/03T21:01:39,         50.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:40,2013/08/03T21:01:40,         65.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:40,2013/08/03T21:01:41,          4.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:41,2013/08/03T21:01:41,        110.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:42,2013/08/03T21:01:42,         52.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:46,2013/08/03T21:01:46,          1.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:47,2013/08/03T21:01:47,         69.000,
                              10.5.17.2,                               10.5.8.2,2013/08/03T21:01:48,2013/08/03T21:01:48,         60.000,
