                               10.5.4.2,                              10.5.18.2,2013/08/04T00:31:41,2013/08/04T00:31:41,         13.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:31:43,2013/08/04T00:31:43,          8.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:31:52,2013/08/04T00:31:52,          8.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:31:54,2013/08/04T00:31:54,          1.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:31:56,2013/08/04T00:31:56,          6.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:01,2013/08/04T00:32:32,          1.194,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:03,2013/08/04T00:32:03,         14.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:03,2013/08/04T00:32:33,          1.600,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:13,2013/08/04T00:32:13,         18.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:16,2013/08/04T00:32:16,          3.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:22,2013/08/04T00:32:22,         16.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:26,2013/08/04T00:32:26,          8.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:33,2013/08/04T00:32:33,         25.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:49,2013/08/04T00:32:49,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:54,2013/08/04T00:32:55,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:32:59,2013/08/04T00:33:30,          0.355,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:02,2013/08/04T00:33:02,         17.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:09,2013/08/04T00:33:10,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:10,2013/08/04T00:33:10,          3.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:15,2013/08/04T00:33:15,         14.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:40,2013/08/04T00:33:40,          7.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:48,2013/08/04T00:33:48,          4.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:48,2013/08/04T00:33:49,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:48,2013/08/04T00:33:58,          0.800,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:53,2013/08/04T00:33:53,          1.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:55,2013/08/04T00:34:01,          0.667,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:33:58,2013/08/04T00:33:58,          4.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:01,2013/08/04T00:34:01,          7.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:04,2013/08/04T00:34:05,          2.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:17,2013/08/04T00:34:18,          3.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:26,2013/08/04T00:34:32,          0.833,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:28,2013/08/04T00:34:28,          1.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:31,2013/08/04T00:34:31,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:32,2013/08/04T00:34:32,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:35,2013/08/04T00:34:35,          8.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:50,2013/08/04T00:34:50,          7.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:51,2013/08/04T00:34:51,          6.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:34:57,2013/08/04T00:34:57,         30.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:06,2013/08/04T00:35:06,         26.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:09,2013/08/04T00:35:10,          7.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:18,2013/08/04T00:35:18,          8.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:26,2013/08/04T00:35:26,          7.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:38,2013/08/04T00:36:03,          0.120,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:39,2013/08/04T00:36:40,          0.180,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:41,2013/08/04T00:35:41,         14.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:46,2013/08/04T00:35:46,          5.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:35:59,2013/08/04T00:35:59,          4.000,
                               10.5.4.2,                              10.5.18.2,2013/08/04T00:36:03,2013/08/04T00:36:03,         21.000,
