                               10.5.4.2,                              10.5.10.2,2013/08/04T00:31:42,2013/08/04T00:31:42,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:31:52,2013/08/04T00:31:52,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:31:56,2013/08/04T00:31:56,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:31:59,2013/08/04T00:31:59,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:31:59,2013/08/04T00:32:00,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:11,2013/08/04T00:32:11,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:12,2013/08/04T00:32:12,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:13,2013/08/04T00:32:13,         15.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:14,2013/08/04T00:32:14,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:16,2013/08/04T00:32:17,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:18,2013/08/04T00:32:20,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:26,2013/08/04T00:32:26,          3.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:26,2013/08/04T00:32:27,         11.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:27,2013/08/04T00:32:27,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:35,2013/08/04T00:32:35,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:38,2013/08/04T00:32:38,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:41,2013/08/04T00:32:41,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:44,2013/08/04T00:32:44,         15.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:46,2013/08/04T00:32:46,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:55,2013/08/04T00:32:55,          6.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:32:58,2013/08/04T00:32:58,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:00,2013/08/04T00:33:03,          2.667,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:03,2013/08/04T00:33:03,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:14,2013/08/04T00:33:14,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:22,2013/08/04T00:33:22,         15.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:28,2013/08/04T00:33:29,         19.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:29,2013/08/04T00:33:29,         14.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:35,2013/08/04T00:33:35,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:35,2013/08/04T00:33:39,          6.750,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:37,2013/08/04T00:33:37,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:38,2013/08/04T00:33:38,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:46,2013/08/04T00:34:48,          0.161,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:48,2013/08/04T00:33:49,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:48,2013/08/04T00:33:54,          0.833,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:48,2013/08/04T00:34:18,          0.367,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:33:59,2013/08/04T00:34:59,          0.117,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:00,2013/08/04T00:34:06,          0.667,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:03,2013/08/04T00:34:03,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:13,2013/08/04T00:34:44,          1.161,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:16,2013/08/04T00:34:16,         11.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:21,2013/08/04T00:34:27,          0.833,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:24,2013/08/04T00:34:24,         16.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:27,2013/08/04T00:34:27,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:35,2013/08/04T00:34:35,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:48,2013/08/04T00:34:49,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:49,2013/08/04T00:34:49,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:50,2013/08/04T00:34:51,         18.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:53,2013/08/04T00:34:53,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:34:57,2013/08/04T00:34:57,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:01,2013/08/04T00:35:01,         14.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:06,2013/08/04T00:35:06,         28.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:16,2013/08/04T00:36:17,          0.131,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:21,2013/08/04T00:35:27,          0.833,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:25,2013/08/04T00:35:25,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:39,2013/08/04T00:35:39,         14.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:46,2013/08/04T00:35:46,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:35:46,2013/08/04T00:35:56,          0.800,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:07,2013/08/04T00:36:07,          6.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:10,2013/08/04T00:36:10,         14.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:13,2013/08/04T00:36:13,          6.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:13,2013/08/04T00:36:14,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:14,2013/08/04T00:36:17,          1.667,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:14,2013/08/04T00:36:19,          1.600,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:25,2013/08/04T00:36:26,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:26,2013/08/04T00:36:26,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:30,2013/08/04T00:36:30,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:30,2013/08/04T00:36:31,         17.000,
                               10.5.4.2,                              10.5.10.2,2013/08/04T00:36:33,2013/08/04T00:36:33,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:45:48,2013/08/03T17:45:48,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:45:51,2013/08/03T17:45:51,         23.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:45:51,2013/08/03T17:45:52,         66.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:45:54,2013/08/03T17:45:54,         33.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:45:55,2013/08/03T17:45:55,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:04,2013/08/03T17:46:04,         68.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:06,2013/08/03T17:46:06,         74.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:07,2013/08/03T17:46:07,        156.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:10,2013/08/03T17:46:10,         76.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:11,2013/08/03T17:46:11,         61.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:12,2013/08/03T17:46:12,        142.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:15,2013/08/03T17:46:15,         77.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:18,2013/08/03T17:46:21,          2.333,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:21,2013/08/03T17:46:21,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:25,2013/08/03T17:46:26,         68.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:27,2013/08/03T17:46:28,         78.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:31,2013/08/03T17:46:31,          9.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:32,2013/08/03T17:46:32,         11.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:42,2013/08/03T17:46:42,         71.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:46:48,2013/08/03T17:46:49,         74.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:03,2013/08/03T17:47:05,         15.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:06,2013/08/03T17:47:06,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:07,2013/08/03T17:47:07,         67.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:08,2013/08/03T17:47:08,         16.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:09,2013/08/03T17:47:10,         64.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:15,2013/08/03T17:47:15,         68.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:22,2013/08/03T17:47:22,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:46,2013/08/03T17:47:46,          5.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:53,2013/08/03T17:47:53,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:47:59,2013/08/03T17:47:59,         67.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:00,2013/08/03T17:48:00,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:03,2013/08/03T17:48:03,         13.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:10,2013/08/03T17:48:10,         14.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:11,2013/08/03T17:48:11,         91.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:13,2013/08/03T17:48:13,         79.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:14,2013/08/03T17:48:14,          9.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:16,2013/08/03T17:48:16,         70.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:21,2013/08/03T17:48:26,        594.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:28,2013/08/03T17:48:28,         12.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:42,2013/08/03T17:48:42,         52.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:44,2013/08/03T17:48:45,         65.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:47,2013/08/03T17:48:47,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:47,2013/08/03T17:48:48,         65.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:48:48,2013/08/03T17:48:48,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:03,2013/08/03T17:49:03,         10.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:29,2013/08/03T17:49:29,          8.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:32,2013/08/03T17:49:34,         31.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:33,2013/08/03T17:49:33,         81.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:35,2013/08/03T17:49:35,         72.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:44,2013/08/03T17:49:44,         68.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:47,2013/08/03T17:49:48,         69.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:47,2013/08/03T17:49:49,         34.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:49,2013/08/03T17:49:49,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:51,2013/08/03T17:49:52,         69.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:52,2013/08/03T17:49:52,         11.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:56,2013/08/03T17:49:56,         61.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:49:58,2013/08/03T17:49:58,          7.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:50:01,2013/08/03T17:50:01,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:50:02,2013/08/03T17:50:04,          2.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:50:03,2013/08/03T17:50:04,         68.500,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:50:16,2013/08/03T17:50:16,         12.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:50:17,2013/08/03T17:50:17,         61.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:16,2013/08/03T17:30:16,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:17,2013/08/03T17:30:17,          4.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:18,2013/08/03T17:30:18,         69.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:23,2013/08/03T17:30:23,         74.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:35,2013/08/03T17:30:35,          1.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:38,2013/08/03T17:30:38,          3.000,
                               10.5.4.2,                              10.5.10.2,2013/08/03T17:30:39,2013/08/03T17:30:40,         67.000,
