                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:40,2013/08/04T00:31:59,          1.105,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:46,2013/08/04T00:31:46,          7.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:47,2013/08/04T00:31:47,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:52,2013/08/04T00:31:52,         15.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:56,2013/08/04T00:31:57,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:57,2013/08/04T00:31:57,          4.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:31:58,2013/08/04T00:32:06,          1.125,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:03,2013/08/04T00:32:03,          1.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:03,2013/08/04T00:32:04,         17.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:08,2013/08/04T00:32:08,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:08,2013/08/04T00:32:09,        147.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:12,2013/08/04T00:32:12,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:13,2013/08/04T00:32:13,         40.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:16,2013/08/04T00:32:26,          0.600,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:23,2013/08/04T00:32:24,          4.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:24,2013/08/04T00:32:24,          3.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:26,2013/08/04T00:32:26,          1.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:31,2013/08/04T00:32:31,          7.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:33,2013/08/04T00:32:33,          7.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:33,2013/08/04T00:32:35,          1.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:34,2013/08/04T00:32:35,          2.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:42,2013/08/04T00:32:42,          1.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:32:57,2013/08/04T00:32:57,         16.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:03,2013/08/04T00:33:05,         22.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:15,2013/08/04T00:33:15,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:22,2013/08/04T00:33:22,         14.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:24,2013/08/04T00:33:25,          8.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:28,2013/08/04T00:33:29,          7.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:34,2013/08/04T00:33:35,          4.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:35,2013/08/04T00:33:35,          1.000,
                               10.5.4.2,                               10.5.3.2,2013/08/04T00:33:36,2013/08/04T00:33:36,         15.000,
