                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:08,2013/08/04T00:32:13,          1.400,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:12,2013/08/04T00:32:13,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:13,2013/08/04T00:32:13,          9.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:16,2013/08/04T00:32:16,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:20,2013/08/04T00:32:20,          8.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:21,2013/08/04T00:32:22,          4.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:22,2013/08/04T00:32:22,          3.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:24,2013/08/04T00:32:25,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:25,2013/08/04T00:32:25,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:26,2013/08/04T00:32:27,         36.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:27,2013/08/04T00:32:27,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:33,2013/08/04T00:32:35,         23.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:39,2013/08/04T00:32:39,          8.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:53,2013/08/04T00:32:53,         16.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:32:54,2013/08/04T00:32:54,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:07,2013/08/04T00:33:38,          1.161,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:12,2013/08/04T00:33:12,          7.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:12,2013/08/04T00:33:13,         11.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:13,2013/08/04T00:33:13,          2.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:15,2013/08/04T00:33:15,         14.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:16,2013/08/04T00:33:16,          6.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:20,2013/08/04T00:33:20,          5.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:28,2013/08/04T00:33:28,         14.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:29,2013/08/04T00:33:29,          8.000,
                               10.5.4.2,                               10.5.9.2,2013/08/04T00:33:33,2013/08/04T00:33:33,          5.000,
