                               10.5.4.2,                               10.5.5.2,2013/08/04T00:31:43,2013/08/04T00:31:43,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:02,2013/08/04T00:32:02,         12.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:05,2013/08/04T00:32:05,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:11,2013/08/04T00:32:14,          4.833,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:13,2013/08/04T00:32:13,         19.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:14,2013/08/04T00:32:14,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:16,2013/08/04T00:32:16,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:24,2013/08/04T00:32:25,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:37,2013/08/04T00:32:37,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:44,2013/08/04T00:32:45,         14.500,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:45,2013/08/04T00:32:45,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:49,2013/08/04T00:32:49,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:32:54,2013/08/04T00:32:55,        145.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:04,2013/08/04T00:33:04,          1.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:10,2013/08/04T00:33:15,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:13,2013/08/04T00:33:13,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:36,2013/08/04T00:33:36,         18.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:42,2013/08/04T00:33:42,          9.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:43,2013/08/04T00:33:43,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:33:44,2013/08/04T00:33:44,         10.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:05,2013/08/04T00:34:05,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:19,2013/08/04T00:34:19,         14.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:22,2013/08/04T00:34:22,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:24,2013/08/04T00:34:24,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:34,2013/08/04T00:34:44,          0.800,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:34,2013/08/04T00:35:03,          0.310,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:36,2013/08/04T00:34:36,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:38,2013/08/04T00:34:44,          0.667,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:44,2013/08/04T00:34:44,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:46,2013/08/04T00:34:46,          5.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:46,2013/08/04T00:34:47,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:46,2013/08/04T00:34:56,          0.900,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:34:48,2013/08/04T00:34:48,          5.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:03,2013/08/04T00:35:05,         22.500,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:10,2013/08/04T00:35:10,         17.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:19,2013/08/04T00:35:46,          0.852,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:23,2013/08/04T00:35:23,         14.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:25,2013/08/04T00:35:25,         10.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:25,2013/08/04T00:35:56,          0.258,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:51,2013/08/04T00:35:51,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:52,2013/08/04T00:35:52,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:53,2013/08/04T00:35:53,         13.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:55,2013/08/04T00:35:55,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:56,2013/08/04T00:35:56,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:35:59,2013/08/04T00:36:03,          1.750,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:02,2013/08/04T00:36:02,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:03,2013/08/04T00:36:04,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:06,2013/08/04T00:36:06,          8.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:29,2013/08/04T00:36:29,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:33,2013/08/04T00:36:33,         15.000,
                               10.5.4.2,                               10.5.5.2,2013/08/04T00:36:36,2013/08/04T00:36:36,         15.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:26,2013/08/03T17:45:26,         65.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:33,2013/08/03T17:45:33,          4.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:51,2013/08/03T17:45:52,         70.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:53,2013/08/03T17:45:53,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:54,2013/08/03T17:45:54,         10.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:55,2013/08/03T17:45:56,         77.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:55,2013/08/03T17:45:57,         28.500,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:45:59,2013/08/03T17:45:59,          5.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:01,2013/08/03T17:46:01,          2.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:02,2013/08/03T17:46:02,         23.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:03,2013/08/03T17:46:03,          9.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:03,2013/08/03T17:46:04,         66.500,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:04,2013/08/03T17:46:05,         85.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:05,2013/08/03T17:46:05,         61.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:07,2013/08/03T17:46:07,         80.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:09,2013/08/03T17:46:09,         65.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:12,2013/08/03T17:46:12,        148.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:13,2013/08/03T17:46:13,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:15,2013/08/03T17:46:15,         56.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:16,2013/08/03T17:46:16,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:22,2013/08/03T17:46:22,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:24,2013/08/03T17:46:24,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:29,2013/08/03T17:46:29,         67.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:31,2013/08/03T17:46:31,          3.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:32,2013/08/03T17:46:32,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:33,2013/08/03T17:46:34,         66.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:38,2013/08/03T17:46:38,          1.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:41,2013/08/03T17:46:41,          6.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:42,2013/08/03T17:46:42,         84.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:43,2013/08/03T17:46:43,          7.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:53,2013/08/03T17:46:53,         16.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:46:58,2013/08/03T17:47:01,          7.333,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:47:01,2013/08/03T17:47:01,         72.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:47:01,2013/08/03T17:47:16,          1.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:47:04,2013/08/03T17:47:04,         15.000,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:47:05,2013/08/03T17:47:10,        709.800,
                               10.5.4.2,                               10.5.5.2,2013/08/03T17:47:07,2013/08/03T17:47:07,         51.000,
