                               10.5.4.2,                              10.5.17.2,2013/08/04T00:31:46,2013/08/04T00:32:46,          0.133,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:31:54,2013/08/04T00:31:54,          1.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:31:55,2013/08/04T00:31:55,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:18,2013/08/04T00:32:19,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:19,2013/08/04T00:32:19,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:27,2013/08/04T00:32:27,          6.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:33,2013/08/04T00:32:33,          6.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:34,2013/08/04T00:33:05,          1.194,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:47,2013/08/04T00:32:51,          2.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:59,2013/08/04T00:32:59,          5.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:32:59,2013/08/04T00:33:02,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:18,2013/08/04T00:33:28,          0.500,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:22,2013/08/04T00:33:22,         13.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:30,2013/08/04T00:33:30,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:33,2013/08/04T00:33:33,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:49,2013/08/04T00:33:49,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:54,2013/08/04T00:33:54,          6.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:33:57,2013/08/04T00:33:57,          1.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:02,2013/08/04T00:34:02,          5.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:03,2013/08/04T00:34:03,          6.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:09,2013/08/04T00:34:09,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:29,2013/08/04T00:34:29,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:30,2013/08/04T00:34:30,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:31,2013/08/04T00:34:32,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:33,2013/08/04T00:34:33,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:33,2013/08/04T00:35:05,          1.531,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:38,2013/08/04T00:34:38,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:50,2013/08/04T00:34:50,         14.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:50,2013/08/04T00:34:56,          1.167,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:34:55,2013/08/04T00:34:55,         12.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:03,2013/08/04T00:35:03,         10.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:06,2013/08/04T00:35:06,          9.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:10,2013/08/04T00:35:10,         14.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:15,2013/08/04T00:35:15,          9.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:20,2013/08/04T00:35:20,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:51,2013/08/04T00:36:22,          1.194,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:35:55,2013/08/04T00:35:55,         14.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:36:19,2013/08/04T00:36:19,          8.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:36:20,2013/08/04T00:36:20,         16.000,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:36:25,2013/08/04T00:36:40,          1.200,
                               10.5.4.2,                              10.5.17.2,2013/08/04T00:36:33,2013/08/04T00:36:33,         17.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:17,2013/08/03T17:45:17,         10.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:35,2013/08/03T17:45:35,         10.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:40,2013/08/03T17:45:42,          2.500,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:51,2013/08/03T17:45:51,         24.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:54,2013/08/03T17:45:54,          3.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:56,2013/08/03T17:45:58,         30.500,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:58,2013/08/03T17:45:58,         54.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:45:59,2013/08/03T17:45:59,         60.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:03,2013/08/03T17:46:03,         72.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:04,2013/08/03T17:46:04,         77.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:06,2013/08/03T17:46:06,          3.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:06,2013/08/03T17:46:07,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:07,2013/08/03T17:46:07,          2.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:08,2013/08/03T17:46:09,         51.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:08,2013/08/03T17:46:10,         37.500,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:10,2013/08/03T17:46:10,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:11,2013/08/03T17:46:11,         71.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:11,2013/08/03T17:46:12,         70.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:12,2013/08/03T17:46:12,          1.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:12,2013/08/03T17:46:13,         69.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:17,2013/08/03T17:46:17,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:21,2013/08/03T17:46:21,         15.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:24,2013/08/03T17:46:24,        182.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:31,2013/08/03T17:46:32,         42.500,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:32,2013/08/03T17:46:32,          1.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:35,2013/08/03T17:46:35,         59.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:39,2013/08/03T17:46:39,         70.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:46,2013/08/03T17:46:46,          3.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:49,2013/08/03T17:46:50,         69.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:50,2013/08/03T17:46:50,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:46:57,2013/08/03T17:46:57,          5.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:02,2013/08/03T17:47:02,          6.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:03,2013/08/03T17:47:03,         16.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:04,2013/08/03T17:47:04,         64.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:05,2013/08/03T17:47:05,          7.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:10,2013/08/03T17:47:10,         66.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:20,2013/08/03T17:47:20,         70.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:31,2013/08/03T17:47:32,          9.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:32,2013/08/03T17:47:32,          4.000,
                               10.5.4.2,                              10.5.17.2,2013/08/03T17:47:34,2013/08/03T17:47:34,          6.000,
