                               10.5.4.2,                               10.5.8.2,2013/08/04T00:31:52,2013/08/04T00:31:52,          7.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:31:54,2013/08/04T00:31:54,          1.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:01,2013/08/04T00:32:01,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:03,2013/08/04T00:32:03,         10.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:07,2013/08/04T00:32:07,          9.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:27,2013/08/04T00:32:28,          7.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:35,2013/08/04T00:32:35,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:36,2013/08/04T00:32:46,          0.500,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:44,2013/08/04T00:32:44,         19.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:47,2013/08/04T00:32:47,          7.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:32:54,2013/08/04T00:32:54,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:02,2013/08/04T00:33:02,          4.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:03,2013/08/04T00:33:03,         10.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:03,2013/08/04T00:33:38,          0.600,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:04,2013/08/04T00:33:05,          2.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:07,2013/08/04T00:33:07,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:15,2013/08/04T00:33:15,         18.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:18,2013/08/04T00:33:18,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:25,2013/08/04T00:33:25,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:33,2013/08/04T00:33:38,          2.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:36,2013/08/04T00:33:36,          4.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:45,2013/08/04T00:33:46,         14.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:33:46,2013/08/04T00:33:46,          4.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:04,2013/08/04T00:34:04,         10.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:10,2013/08/04T00:34:10,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:14,2013/08/04T00:34:14,         27.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:16,2013/08/04T00:35:17,          0.131,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:24,2013/08/04T00:34:30,          0.833,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:34,2013/08/04T00:34:34,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:40,2013/08/04T00:34:40,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:43,2013/08/04T00:34:43,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:44,2013/08/04T00:34:44,          5.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:45,2013/08/04T00:34:45,         16.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:49,2013/08/04T00:34:49,          1.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:54,2013/08/04T00:34:54,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:56,2013/08/04T00:34:56,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:34:57,2013/08/04T00:34:57,         14.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:35:12,2013/08/04T00:35:12,          9.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:35:23,2013/08/04T00:35:23,         12.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:35:27,2013/08/04T00:35:27,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:35:38,2013/08/04T00:35:38,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:35:53,2013/08/04T00:35:53,          1.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:36:01,2013/08/04T00:36:02,          7.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:36:03,2013/08/04T00:36:03,         27.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:36:16,2013/08/04T00:36:16,         11.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:36:20,2013/08/04T00:36:20,          8.000,
                               10.5.4.2,                               10.5.8.2,2013/08/04T00:36:31,2013/08/04T00:36:31,          7.000,
                               10.5.4.2,                               10.5.8.2,2013/08/03T17:45:25,2013/08/03T17:45:25,          6.000,
                               10.5.4.2,                               10.5.8.2,2013/08/03T17:45:30,2013/08/03T17:45:30,          6.000,
