                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         24.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:13,2013/08/03T19:46:14,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:13,2013/08/03T19:46:15,          5.500,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         23.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:14,2013/08/03T19:46:15,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         37.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:16,2013/08/03T19:46:16,          4.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         34.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         45.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:19,2013/08/03T19:46:19,         13.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:28,2013/08/03T19:46:28,          6.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         34.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:32,2013/08/03T19:46:32,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         25.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:40,2013/08/03T19:46:40,          5.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:51,2013/08/03T19:46:51,          7.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:52,2013/08/03T19:46:52,         10.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         23.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:54,2013/08/03T19:46:54,         22.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         21.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:56,2013/08/03T19:46:56,         55.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:57,2013/08/03T19:46:57,         32.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:58,2013/08/03T19:46:58,         17.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:46:59,2013/08/03T19:46:59,         23.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:00,2013/08/03T19:47:00,         22.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:01,2013/08/03T19:47:01,         19.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:04,2013/08/03T19:47:51,          0.234,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:06,2013/08/03T19:47:06,          8.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:08,2013/08/03T19:47:08,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:09,2013/08/03T19:47:09,         32.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:10,2013/08/03T19:47:10,         43.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:11,2013/08/03T19:47:11,         74.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:12,2013/08/03T19:47:12,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:13,2013/08/03T19:47:13,         31.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:14,2013/08/03T19:47:14,         57.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:15,2013/08/03T19:47:15,         33.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:16,2013/08/03T19:47:16,         53.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:16,2013/08/03T19:47:17,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:17,2013/08/03T19:47:17,         20.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:18,2013/08/03T19:47:18,         34.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:22,2013/08/03T19:47:22,          9.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:23,2013/08/03T19:47:23,         35.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:24,2013/08/03T19:47:24,          1.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:25,2013/08/03T19:47:25,          1.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:27,2013/08/03T19:47:27,          1.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:29,2013/08/03T19:47:29,          1.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:30,2013/08/03T19:47:30,          1.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:33,2013/08/03T19:47:33,          7.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:35,2013/08/03T19:47:35,         33.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:36,2013/08/03T19:47:36,         33.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:37,2013/08/03T19:47:37,         78.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:38,2013/08/03T19:47:38,         45.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:39,2013/08/03T19:47:39,         22.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:40,2013/08/03T19:47:40,         65.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:41,2013/08/03T19:47:41,         83.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:41,2013/08/03T19:47:42,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:42,2013/08/03T19:47:42,         32.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:44,2013/08/03T19:47:44,         19.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:45,2013/08/03T19:47:45,          8.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:46,2013/08/03T19:47:46,          8.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:47,2013/08/03T19:47:47,          8.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:48,2013/08/03T19:47:48,          8.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:48,2013/08/03T19:47:54,          0.667,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:50,2013/08/03T19:47:50,         11.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:50,2013/08/03T19:47:51,         10.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:51,2013/08/03T19:47:51,         98.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:51,2013/08/03T19:47:52,         10.000,
                              10.5.11.2,                              10.5.15.2,2013/08/03T19:47:52,2013/08/03T19:47:52,         45.000,
