                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:12,2013/08/03T19:46:12,          7.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:12,2013/08/03T19:46:13,         10.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         13.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         23.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:14,2013/08/03T19:46:17,          2.333,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         21.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:16,2013/08/03T19:46:16,          1.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         37.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         31.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:18,2013/08/03T19:46:19,         11.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:19,2013/08/03T19:46:19,         12.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:24,2013/08/03T19:46:24,          7.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:30,2013/08/03T19:46:30,         22.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         22.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         11.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         12.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:38,2013/08/03T19:46:38,          1.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         23.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         17.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:52,2013/08/03T19:46:52,         23.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         11.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:54,2013/08/03T19:46:54,         33.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:54,2013/08/03T19:46:55,         11.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         43.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:57,2013/08/03T19:46:57,         12.000,
                              10.5.11.2,                              10.5.18.2,2013/08/03T19:46:57,2013/08/03T19:46:58,         10.000,
