                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:12,2013/08/03T19:46:14,          5.500,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         27.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:13,2013/08/03T19:46:14,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:13,2013/08/03T19:46:16,          7.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         24.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         44.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:15,2013/08/03T19:46:16,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:16,2013/08/03T19:46:16,         20.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         23.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:18,2013/08/03T19:46:19,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:19,2013/08/03T19:46:19,         12.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:32,2013/08/03T19:46:33,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         28.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:33,2013/08/03T19:46:34,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:34,2013/08/03T19:46:34,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:35,2013/08/03T19:46:35,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:36,2013/08/03T19:46:36,         17.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:38,2013/08/03T19:46:38,          6.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:45,2013/08/03T19:46:45,         13.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:46,2013/08/03T19:46:46,          7.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:49,2013/08/03T19:46:49,         18.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         21.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:50,2013/08/03T19:46:51,         10.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         12.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:52,2013/08/03T19:46:52,         25.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         33.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:53,2013/08/03T19:46:54,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:54,2013/08/03T19:46:54,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:54,2013/08/03T19:46:55,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         29.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:55,2013/08/03T19:47:01,          4.667,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:56,2013/08/03T19:46:56,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:58,2013/08/03T19:46:58,         46.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:59,2013/08/03T19:46:59,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:46:59,2013/08/03T19:47:00,         10.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:00,2013/08/03T19:47:00,         46.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:00,2013/08/03T19:47:01,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:01,2013/08/03T19:47:01,         44.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:03,2013/08/03T19:47:05,          5.500,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:06,2013/08/03T19:47:06,          5.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:08,2013/08/03T19:47:08,         21.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:09,2013/08/03T19:47:09,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:10,2013/08/03T19:47:10,         44.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:10,2013/08/03T19:47:11,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:11,2013/08/03T19:47:11,         64.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:12,2013/08/03T19:47:12,         23.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:14,2013/08/03T19:47:14,         32.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:14,2013/08/03T19:47:15,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:15,2013/08/03T19:47:15,         20.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:16,2013/08/03T19:47:16,          9.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:16,2013/08/03T19:47:17,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:17,2013/08/03T19:47:17,         12.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:18,2013/08/03T19:47:18,         46.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:19,2013/08/03T19:47:19,          9.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:20,2013/08/03T19:47:20,          8.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:21,2013/08/03T19:47:21,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:23,2013/08/03T19:47:23,          9.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:24,2013/08/03T19:47:25,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:26,2013/08/03T19:47:26,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:32,2013/08/03T19:47:32,          2.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:33,2013/08/03T19:47:33,          1.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:33,2013/08/03T19:48:03,          0.433,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:34,2013/08/03T19:47:34,          8.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:35,2013/08/03T19:47:35,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:35,2013/08/03T19:47:41,          0.667,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:36,2013/08/03T19:47:36,         11.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:37,2013/08/03T19:47:37,         22.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:38,2013/08/03T19:47:38,         37.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:40,2013/08/03T19:47:40,         40.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:41,2013/08/03T19:47:41,         52.000,
                              10.5.11.2,                               10.5.1.2,2013/08/03T19:47:42,2013/08/03T19:47:42,        109.000,
