                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         33.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         33.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:15,2013/08/03T19:46:16,         10.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:16,2013/08/03T19:46:16,         17.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         23.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:17,2013/08/03T19:46:18,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         20.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         34.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         51.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         24.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:34,2013/08/03T19:46:35,          7.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:35,2013/08/03T19:46:35,          7.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:37,2013/08/03T19:46:37,          5.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:42,2013/08/03T19:46:42,          6.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:47,2013/08/03T19:46:48,          3.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:48,2013/08/03T19:46:48,          5.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:49,2013/08/03T19:46:49,          8.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         31.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         22.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:54,2013/08/03T19:46:54,         12.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:56,2013/08/03T19:46:56,         22.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:57,2013/08/03T19:46:57,         17.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:57,2013/08/03T19:46:58,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:58,2013/08/03T19:46:58,         56.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:46:59,2013/08/03T19:46:59,         21.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:01,2013/08/03T19:47:01,         66.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:08,2013/08/03T19:47:08,         23.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:08,2013/08/03T19:47:09,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:09,2013/08/03T19:47:09,         58.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:10,2013/08/03T19:47:10,         33.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:11,2013/08/03T19:47:11,         31.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:12,2013/08/03T19:47:12,         41.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:14,2013/08/03T19:47:14,         22.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:16,2013/08/03T19:47:16,         20.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:16,2013/08/03T19:47:17,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:17,2013/08/03T19:47:17,         47.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:18,2013/08/03T19:47:18,         85.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:18,2013/08/03T19:47:19,         11.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:19,2013/08/03T19:47:19,          2.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:22,2013/08/03T19:47:22,          8.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:23,2013/08/03T19:47:23,         19.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:25,2013/08/03T19:47:31,          0.667,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:26,2013/08/03T19:47:26,          2.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:27,2013/08/03T19:47:27,          1.000,
                              10.5.11.2,                               10.5.6.2,2013/08/03T19:47:29,2013/08/03T19:47:29,         14.000,
