                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         16.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         30.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:16,2013/08/03T19:46:16,         19.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:16,2013/08/03T19:46:26,          0.700,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         23.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:17,2013/08/03T19:46:18,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         23.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:26,2013/08/03T19:46:26,          4.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:30,2013/08/03T19:46:30,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         44.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:31,2013/08/03T19:46:33,          5.500,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:33,2013/08/03T19:46:33,          1.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:34,2013/08/03T19:46:35,          4.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:37,2013/08/03T19:46:37,          6.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:42,2013/08/03T19:46:42,          6.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         56.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:50,2013/08/03T19:46:52,          6.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         33.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:52,2013/08/03T19:46:52,         13.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         34.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:54,2013/08/03T19:46:54,          7.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         33.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:55,2013/08/03T19:46:56,         10.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:56,2013/08/03T19:46:56,          1.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:58,2013/08/03T19:46:58,         22.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:58,2013/08/03T19:47:08,          0.600,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:46:59,2013/08/03T19:46:59,         21.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:00,2013/08/03T19:47:00,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:01,2013/08/03T19:47:01,         64.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:02,2013/08/03T19:47:02,          1.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:08,2013/08/03T19:47:08,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:08,2013/08/03T19:47:09,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:09,2013/08/03T19:47:09,         45.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:10,2013/08/03T19:47:10,         33.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:11,2013/08/03T19:47:11,         64.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:12,2013/08/03T19:47:12,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:14,2013/08/03T19:47:14,         53.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:15,2013/08/03T19:47:15,         11.000,
                              10.5.11.2,                               10.5.7.2,2013/08/03T19:47:16,2013/08/03T19:47:16,         44.000,
