                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:03,2013/08/03T19:46:03,          1.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:03,2013/08/03T19:46:48,          0.133,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:11,2013/08/03T19:46:11,          6.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:12,2013/08/03T19:46:13,         10.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         34.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:13,2013/08/03T19:46:14,         12.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:14,2013/08/03T19:46:14,         23.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:14,2013/08/03T19:46:15,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         56.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:16,2013/08/03T19:46:16,         23.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         26.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:17,2013/08/03T19:46:18,         10.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:18,2013/08/03T19:46:18,          1.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:19,2013/08/03T19:46:25,          0.667,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:22,2013/08/03T19:46:28,          0.667,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         33.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:31,2013/08/03T19:46:32,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         12.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         23.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:34,2013/08/03T19:46:34,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:35,2013/08/03T19:46:35,          7.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:47,2013/08/03T19:46:47,          5.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         32.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:50,2013/08/03T19:46:51,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         36.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:51,2013/08/03T19:46:53,          5.500,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:52,2013/08/03T19:46:53,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         10.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:54,2013/08/03T19:46:54,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:56,2013/08/03T19:46:56,         12.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:57,2013/08/03T19:46:57,         33.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:58,2013/08/03T19:46:58,         22.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:46:59,2013/08/03T19:46:59,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:00,2013/08/03T19:47:00,         66.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:01,2013/08/03T19:47:01,         32.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:01,2013/08/03T19:47:03,          6.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:03,2013/08/03T19:47:03,          1.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:08,2013/08/03T19:47:08,         32.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:09,2013/08/03T19:47:09,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:09,2013/08/03T19:47:10,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:10,2013/08/03T19:47:10,         35.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:10,2013/08/03T19:47:11,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:11,2013/08/03T19:47:11,         54.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:14,2013/08/03T19:47:14,         88.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:15,2013/08/03T19:47:15,          9.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:16,2013/08/03T19:47:16,         20.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:18,2013/08/03T19:47:18,         38.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:18,2013/08/03T19:47:19,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:19,2013/08/03T19:47:19,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:23,2013/08/03T19:47:23,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:23,2013/08/03T19:47:29,          0.667,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:24,2013/08/03T19:47:24,          4.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:25,2013/08/03T19:47:25,          3.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:26,2013/08/03T19:47:26,          1.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:27,2013/08/03T19:47:27,          1.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:31,2013/08/03T19:47:31,          3.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:33,2013/08/03T19:47:34,         37.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:34,2013/08/03T19:47:34,          9.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:35,2013/08/03T19:47:35,         55.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:36,2013/08/03T19:47:36,         21.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:36,2013/08/03T19:47:37,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:37,2013/08/03T19:47:37,         39.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:37,2013/08/03T19:47:38,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:38,2013/08/03T19:47:38,         54.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:39,2013/08/03T19:47:39,         11.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:40,2013/08/03T19:47:40,         44.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:40,2013/08/03T19:47:41,         10.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:41,2013/08/03T19:47:41,         74.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:42,2013/08/03T19:47:42,         97.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:43,2013/08/03T19:47:43,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:45,2013/08/03T19:47:45,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:46,2013/08/03T19:47:46,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:48,2013/08/03T19:47:48,          8.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:49,2013/08/03T19:47:49,         17.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:50,2013/08/03T19:47:50,         33.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:51,2013/08/03T19:47:51,        110.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:51,2013/08/03T19:47:52,         10.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:52,2013/08/03T19:47:52,         31.000,
                              10.5.11.2,                              10.5.14.2,2013/08/03T19:47:54,2013/08/03T19:47:54,         11.000,
