                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:03,2013/08/03T19:46:03,          2.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:12,2013/08/03T19:46:12,         12.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:12,2013/08/03T19:46:13,         10.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         41.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:14,2013/08/03T19:46:14,          8.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         44.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:15,2013/08/03T19:46:16,          7.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:16,2013/08/03T19:46:16,         12.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         33.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:26,2013/08/03T19:46:26,          6.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:28,2013/08/03T19:46:28,          7.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:30,2013/08/03T19:46:30,         10.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         42.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         33.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:33,2013/08/03T19:46:33,         24.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:33,2013/08/03T19:46:34,          2.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:41,2013/08/03T19:46:43,          2.500,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:48,2013/08/03T19:46:50,          5.500,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:50,2013/08/03T19:46:50,          5.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:51,2013/08/03T19:46:51,         11.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:52,2013/08/03T19:46:53,         11.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:53,2013/08/03T19:46:53,         23.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:53,2013/08/03T19:46:54,         10.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:54,2013/08/03T19:46:54,         45.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:54,2013/08/03T19:46:58,          3.250,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:55,2013/08/03T19:46:55,         22.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:56,2013/08/03T19:46:56,         11.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:56,2013/08/03T19:46:57,         11.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:57,2013/08/03T19:46:57,         34.000,
                              10.5.11.2,                              10.5.12.2,2013/08/03T19:46:57,2013/08/03T19:46:58,         11.000,
