                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:13,2013/08/03T19:46:13,         12.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:14,2013/08/03T19:46:15,         11.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:15,2013/08/03T19:46:15,         23.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:15,2013/08/03T19:46:16,         11.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:16,2013/08/03T19:46:16,          1.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:17,2013/08/03T19:46:17,         11.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:17,2013/08/03T19:46:18,         10.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:18,2013/08/03T19:46:18,         12.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:18,2013/08/03T19:46:20,          6.500,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:20,2013/08/03T19:46:20,          1.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:31,2013/08/03T19:46:31,         56.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:32,2013/08/03T19:46:32,         23.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:32,2013/08/03T19:46:33,         10.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:33,2013/08/03T19:46:35,          5.500,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:33,2013/08/03T19:47:03,          0.500,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:35,2013/08/03T19:46:35,          1.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:36,2013/08/03T19:46:36,          7.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:38,2013/08/03T19:46:44,          0.667,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:42,2013/08/03T19:46:42,          5.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:43,2013/08/03T19:46:43,          8.000,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:43,2013/08/03T19:46:49,        482.833,
                              10.5.11.2,                               10.5.8.2,2013/08/03T19:46:50,2013/08/03T19:46:50,         24.000,
