                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:01,2013/08/03T22:42:01,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:01,2013/08/03T22:42:03,         22.250,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:02,2013/08/03T22:42:02,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:02,2013/08/03T22:42:04,         22.500,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:03,2013/08/03T22:42:04,          2.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          3.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:06,2013/08/03T22:42:11,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:06,2013/08/03T22:42:15,          0.333,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:12,2013/08/03T22:42:18,          1.667,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:15,2013/08/03T22:42:30,          0.267,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:16,2013/08/03T22:42:22,          1.500,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:17,2013/08/03T22:42:20,          1.333,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:18,2013/08/03T22:42:18,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:18,2013/08/03T22:42:33,          3.400,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:18,2013/08/03T22:42:34,          3.063,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:19,2013/08/03T22:42:34,          3.267,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:20,2013/08/03T22:42:36,          3.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:22,2013/08/03T22:42:22,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:22,2013/08/03T22:42:38,          2.688,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:23,2013/08/03T22:42:25,          1.500,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:23,2013/08/03T22:42:39,          3.188,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:24,2013/08/03T22:42:39,          3.333,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:26,2013/08/03T22:42:43,          3.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:26,2013/08/03T22:42:47,          1.238,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:30,2013/08/03T22:42:31,          3.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:30,2013/08/03T22:42:47,          2.059,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:31,2013/08/03T22:42:47,          3.125,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:33,2013/08/03T22:42:36,          1.333,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:35,2013/08/03T22:42:49,          3.714,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:37,2013/08/03T22:42:39,          1.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:38,2013/08/03T22:42:39,          2.000,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:38,2013/08/03T22:42:40,          1.500,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:38,2013/08/03T22:42:50,          2.583,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:38,2013/08/03T22:42:56,          3.056,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:42,2013/08/03T22:43:00,          0.222,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:43,2013/08/03T22:43:01,          1.667,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:44,2013/08/03T22:43:12,          1.464,
                              10.5.12.2,                              10.5.18.2,2013/08/03T22:42:47,2013/08/03T22:42:48,          5.000,
