                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:01,2013/08/03T22:42:16,          3.133,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:02,2013/08/03T22:42:17,          3.200,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:03,2013/08/03T22:42:05,         25.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          8.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:06,2013/08/03T22:42:06,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:10,2013/08/03T22:42:13,          0.667,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:11,2013/08/03T22:42:15,         12.250,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:12,2013/08/03T22:42:23,          4.455,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:13,2013/08/03T22:42:13,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:13,2013/08/03T22:42:29,          2.938,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:15,2013/08/03T22:42:17,          1.500,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:16,2013/08/03T22:42:18,         22.500,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:16,2013/08/03T22:42:27,          0.182,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:17,2013/08/03T22:42:18,         47.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:19,2013/08/03T22:42:20,          3.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:19,2013/08/03T22:42:36,          2.765,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:20,2013/08/03T22:42:36,          2.813,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:22,2013/08/03T22:42:24,          1.500,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:25,2013/08/03T22:42:27,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:25,2013/08/03T22:42:40,          3.200,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:27,2013/08/03T22:42:27,          2.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:27,2013/08/03T22:42:28,         10.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:27,2013/08/03T22:42:32,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:27,2013/08/03T22:42:44,          2.765,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:32,2013/08/03T22:42:38,          5.833,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:33,2013/08/03T22:42:38,          9.200,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:34,2013/08/03T22:42:34,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:36,2013/08/03T22:43:02,          0.038,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:38,2013/08/03T22:42:56,          2.611,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:39,2013/08/03T22:42:43,          2.500,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:39,2013/08/03T22:42:52,          3.462,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:40,2013/08/03T22:42:42,          1.500,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:43,2013/08/03T22:42:43,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:43,2013/08/03T22:42:45,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:46,2013/08/03T22:42:51,          8.200,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:48,2013/08/03T22:43:04,          3.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:48,2013/08/03T22:43:07,          2.368,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:49,2013/08/03T22:42:50,          2.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:50,2013/08/03T22:42:50,          1.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:50,2013/08/03T22:42:52,         29.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:51,2013/08/03T22:42:51,          3.000,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:54,2013/08/03T22:43:08,          2.286,
                              10.5.12.2,                              10.5.19.2,2013/08/03T22:42:55,2013/08/03T22:43:02,          1.286,
