                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:01,2013/08/03T22:42:01,          3.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:03,2013/08/03T22:42:04,         48.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:04,2013/08/03T22:42:04,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:05,2013/08/03T22:42:05,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:06,2013/08/03T22:42:06,          2.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:06,2013/08/03T22:42:20,          3.429,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:10,2013/08/03T22:42:15,          8.800,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:11,2013/08/03T22:42:26,          3.467,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:12,2013/08/03T22:42:12,          3.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:14,2013/08/03T22:42:30,          0.250,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:15,2013/08/03T22:42:16,          2.500,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:15,2013/08/03T22:42:20,          2.200,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:17,2013/08/03T22:42:18,         44.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:18,2013/08/03T22:42:19,          2.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:19,2013/08/03T22:42:24,          2.200,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:20,2013/08/03T22:42:20,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:22,2013/08/03T22:42:23,          2.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:23,2013/08/03T22:42:39,          3.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:24,2013/08/03T22:42:39,          3.267,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:27,2013/08/03T22:42:40,          3.846,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:27,2013/08/03T22:42:41,          3.286,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:27,2013/08/03T22:42:44,          2.941,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:28,2013/08/03T22:42:30,          1.500,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:28,2013/08/03T22:42:42,          3.357,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:29,2013/08/03T22:42:45,          2.938,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:31,2013/08/03T22:42:31,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:32,2013/08/03T22:42:32,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:32,2013/08/03T22:42:34,         24.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:33,2013/08/03T22:42:36,          1.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:33,2013/08/03T22:42:48,          1.133,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:34,2013/08/03T22:42:51,          2.529,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:38,2013/08/03T22:42:54,          3.125,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:38,2013/08/03T22:42:58,          2.200,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:39,2013/08/03T22:42:40,          3.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:40,2013/08/03T22:42:46,          1.667,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:42,2013/08/03T22:42:43,          2.000,
                              10.5.12.2,                               10.5.1.2,2013/08/03T22:42:43,2013/08/03T22:42:43,          1.000,
